Peak_ID,Library\ID,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
Peak_093,"3,4-Dihydroxyphenylglycol, 4TMS derivative Results",28548,42626,23604,75830,37271,21482,49670,37712,22270,44255,38176,21669,36731,21894,28706,32551,22955,26973,19435,31880,20536,26738,20931,16704
Peak_094,"Benzaldehyde, 2-hydroxy- Results",236927,276677,284473,278661,108326,86987,124289,136792,61883,49139,83134,84543,31335,33944,51467,25188,35955,29570,29473,26009,27701,24655,35367,21458
Peak_095,"Bicyclo[3.2.2]non-8-en-6-ol, (1R,5-cis,6-cis)- Results",491366,642230,624142,588379,423736,535880,473802,508015,404218,475002,549589,430121,561368,524654,579709,549498,523067,515925,540654,464877,449682,413307,507552,409562
Peak_096,Terpineol Results,1212891,1694935,1494407,1371645,1093387,1342187,1171279,1241615,940169,1102774,1266749,1067924,1235912,1242157,1355120,1184888,975279,984222,1081582,904562,781866,740402,919930,755452
Peak_097,Isoborneol Results,536620,683825,611775,545019,868924,1069903,846031,816953,906418,1088259,1133474,927215,128177,123746,137074,123977,93421,91321,101022,91807,76506,74604,82713,72101
Peak_098,"Naphthalene, 1,2-dihydro-1,1,6-trimethyl- Results",1052237,1723256,1337279,1175756,83566,125706,147162,153477,45463,43635,53559,52264,647870,787532,991057,628128,86920,125497,124436,133136,39487,34039,36504,46438
Peak_099,"Oxime-, methoxy-phenyl-_ Results",1163442,1023783,2118814,4264692,1418251,1255716,2166550,1517101,998848,1744113,1554214,964622,2765761,1725986,1115623,1977034,1096214,1642837,521158,1949728,823259,1289740,1005846,706938
Peak_100,"Cyclotrisiloxane, hexamethyl-  (1) Results",304848,292670,618455,1324582,444720,449701,696531,517018,376098,605789,515583,392161,737864,515249,391752,542603,382437,628898,181927,682817,361818,475087,437241,310187
Peak_101,Thymol Results,34451,43289,50597,47251,37564,47199,43193,38028,37041,37515,47134,41236,43566,43926,47528,41361,38081,41962,40017,36957,35852,32559,41552,35187
Peak_102,Benzyl alcohol Results,215099,385324,318247,247875,563699,647841,528928,501588,696589,641345,721105,613402,585460,589139,623477,570507,729983,810476,756622,642343,792846,693676,771750,769485
Peak_103,"Cyclotetrasiloxane, octamethyl-  (1) Results",108311,120597,209454,434415,164211,150934,249618,188590,137543,223737,200297,148278,242309,181705,138321,185488,147509,219720,78175,231704,136316,165853,166641,125470
Peak_104,Phenylethyl Alcohol Results,72090,103761,93637,91328,255544,345081,287136,282440,482620,519689,555540,481192,105531,131256,114897,102429,143117,249886,173702,126044,180672,252430,221738,187683
Peak_105,"Benzenecarbothioic acid, S-methyl ester Results",56950,72650,67469,72405,24836,23090,27402,28276,15219,17112,23746,18780,59660,60647,70744,59578,26947,31628,28708,26225,20671,19142,20419,21223
Peak_106,"Benzonitrile, 2-methyl- Results",157747,204473,211307,196943,153689,179309,161174,169559,147324,146058,169245,171186,181939,198832,212800,186237,172184,182884,177274,148643,156184,135861,155735,155026
Peak_107,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol Results",52500,104220,101413,119222,92053,85211,106865,109356,81027,85957,136773,79337,84070,71837,115034,69034,54828,102427,88990,63466,92895,51122,73255,92559
Peak_108,"Cyclopentasiloxane, decamethyl-  (1) Results",23400,30523,37695,77886,38938,31532,51883,42053,28515,46383,46429,30230,44802,37440,27543,37310,32670,42092,21102,44809,27952,32649,32865,27637
Peak_109,Phenol Results,48784,70409,85278,76929,67343,82880,71465,68519,75701,67326,76158,78272,84112,89264,115338,79819,89145,97994,120426,73510,89006,90018,133366,75504
Peak_110,p-Cresol Results,209521,274279,290610,264846,256477,296298,255901,273808,274033,264774,300150,295219,307908,319210,347506,302725,343308,351912,344170,295493,344746,282263,319753,328944
