Peak_ID,a2,b2,c2,d2,e2,f2,g2,h2,i24,j24,k24,l24,m24,n24,o24,p24,q48,r48,s48,t48,u48,v48,w48,x48
Peak_183,108360051,0,0,1353773,1650617,0,0,0,4472128,0,0,0,0,0,0,0,0,4306701,0,4461209,4357598,4771525,4211753,3197876
Peak_184,0,8929300,0,0,0,2350771,0,2670187,0,3982897,0,0,2755634,2689192,2618162,2903553,38106034,4903912,0,5334664,4703376,4705362,6354746,3386834
Peak_185,0,0,0,0,0,0,5441309,0,2672853,4227540,0,0,4266221,2670543,3489811,2713188,2734620,0,0,0,2431443,3067093,0,0
Peak_186,0,5517590,0,3441730,4721108,5209787,5495184,5578832,4090525,13126416,0,2865758,16217091,14389252,11766313,12687040,0,2761383,0,3493114,2966743,3637683,3545015,2599999
Peak_187,3810114,11419091,0,7884044,9808368,11017747,11128530,11855955,0,6118029,0,0,4729095,0,4562499,0,0,5696470,0,6194551,5712757,6284163,6596244,5068238
Peak_188,0,2957427,0,2356519,2407070,2569392,3336257,2904775,1914108,125207554,0,40061521,158978003,125717451,117868379,117678529,0,1146279,0,2064490,1956071,1854577,1216549,1328537
Peak_189,2100829,3531485,0,2766962,3158100,3268527,3634483,3321363,16919227,536762114,0,177950592,733518304,540082342,511810340,517891890,0,13122376,0,11938874,12096841,12688089,12858219,11108900
Peak_190,4463367,4061109,2833686,30065876,5249981,6973011,6819594,10544077,0,30901352,0,12209179,43090241,33799658,32859330,37018984,0,2259413,0,1720305,2242684,1900589,1939308,1901390
Peak_191,0,2567019,0,0,0,0,2602614,2727204,0,1390278,0,0,0,0,0,0,0,6428348,0,5319800,5759333,5403527,6230073,6030581
Peak_192,0,6182191,0,6106476,5910616,6185481,6792428,7667105,0,0,0,19393767,0,0,0,0,15555836,4051093,0,3989775,2515150,1502977,3717357,1742810
Peak_193,0,3272713,0,2708947,2981587,3083336,3479062,3703684,0,0,0,0,0,0,1261809,0,0,0,0,0,0,0,0,788207
Peak_194,61643599,9977089,0,8970320,4414005,5822826,7253205,7928963,0,2925831,0,0,2905902,2932659,0,2660684,0,2022950,0,0,1463163,687414,1073850,0
Peak_195,0,0,0,8391347,0,0,0,0,0,26748638,0,0,1135641,0,18999814,0,1198978,11169581,840232,9773851,10344992,11792138,11305836,10215613
Peak_196,3377802,0,0,0,0,0,0,0,1508844,30586678,0,0,31246736,34863029,29202957,41290790,0,2253021,5407378,2057155,2132083,2041774,2308214,1595876
Peak_197,1782076,8641437,0,8998042,9233523,10356840,10817967,12900509,0,0,0,0,0,0,5373814,0,4979852,9015260,0,9524614,8941520,9203345,8478851,8773544
Peak_198,2026445,19764937,0,20839989,17410510,20692556,20553973,22078977,0,12415107,0,0,7135512,9287292,5280844,0,0,2414029,0,1799444,1956672,2649176,2292983,1798157
Peak_199,0,3729414,0,4218874,3970028,4147613,4213045,4905796,15137288,75880883,0,0,122672199,136669870,94473381,109166947,0,0,0,0,0,1065933,0,0
Peak_200,0,3662237,0,3377320,2829467,3081743,2865178,4086756,0,0,0,0,0,0,0,4903756,0,2791955,0,2449378,2226787,3047622,2830249,2245680
Peak_201,0,0,0,0,0,0,0,1765342,0,9922134,0,0,5416696,14620044,0,3353552,8365910,3690978,0,1622767,1825745,3155542,3443022,2945003
Peak_202,32164790,6941312,0,2887344,2829672,2657593,2646137,2560408,0,0,0,0,7628821,0,0,14659801,0,1726103,0,1318316,1484222,1546894,1638023,1640919
Peak_203,0,4231769,0,4423663,3768200,5330727,5517825,4780571,0,0,0,0,0,4523956,0,3478780,0,6835838,0,6191687,7080001,7253194,7605451,8179000
Peak_204,0,6620719,0,4836638,5117644,5686361,6160735,6411681,0,20834626,0,12164874,10732322,6812264,0,13751982,0,8739603,0,7319133,8179771,8005131,8019535,7847608
Peak_205,0,2717134,0,2459855,1938214,3046212,2167756,2280239,0,0,0,9454969,0,0,0,0,0,1708776,0,1419981,1589736,1717307,1723009,1902284
Peak_206,902038,0,0,0,0,0,0,0,69993253,49032249,0,18436091,44171123,28027290,39048162,34076591,0,2769460,0,2465849,2746608,3242964,3356250,3529408
Peak_207,0,7365734,0,7023794,7656797,8148377,8213372,9408903,0,0,0,3202471,0,1963720,5453839,5442804,0,0,0,0,0,1045559,0,1224279
Peak_208,0,0,0,12494812,0,0,0,0,7650579,27012730,0,14027766,23551672,15081533,23886217,24090251,2725529,1514873,0,1983449,1643793,1872854,2248904,1788587
Peak_209,7825082,0,0,0,0,0,0,0,0,0,0,0,7331373,1398577,12827321,0,0,1280017,0,970183,778415,1305775,1347840,635446
