Peak_ID,Library\ID,SWDSB24C01,SWDSB24C02,SWDSB24C03,SWDSB48C01,SWDSB48C02,SWDSB48C03
Peak_074,"Butanoic acid, 3-methyl-, propyl ester",11468,155229,61970,16240,186896,91991
Peak_075,"Butanoic acid, 2-methylpropyl ester",102432,1129310,431283,83824,2695037,371555
Peak_076,"2-Butenoic acid, ethyl ester, (Z)-",149243,17928269,191052,154104,16218042,728203
Peak_077,"2-Butenoic acid, 1-methylethyl ester",151116,1816534,441494,352047,1961560,1170465
Peak_078,"Hexanoic acid, 2-methylbutyl ester",38906,365525,101804,51133,854475,106244
Peak_079,"Butanoic acid, 2-methyl-, 2-methylpropyl ester",15158,259711,52503,23892,1354295,138456
Peak_080,2-Heptanone,33231,288545,107809,35911,319315,81414
Peak_081,"Hexanoic acid, methyl ester",7643114,15309592,23281376,10530714,9047567,10170204
Peak_082,Isobutyl isovalerate,27628,217516,121080,30284,642540,160268
Peak_083,"Butanoic acid, 4-pentenyl ester",26574,227832,66152,37918,260558,90211
Peak_084,"1-Butanol, 3-methyl-",119689,2418899,589808,201329,8569293,1141450
Peak_085,"Butanoic acid, 1-methylbutyl ester",54776,328361,333555,57850,281756,232139
Peak_086,"1-Butanol, 2-methyl-",99268,1497839,332633,157793,4696604,787158
Peak_087,"Butanoic acid, butyl ester",55991,538377,227266,50124,374755,84590
Peak_088,"1-Octene, 7-methyl-",41838,241272,106077,61049,480372,86849
Peak_089,"Hexanoic acid, 1-methylethyl ester",1704653,29905557,5646538,1021489,28506642,1815585
Peak_090,"2-Penten-1-ol, acetate, (Z)-",33018,424771,77533,54657,293195,127129
Peak_091,"Butanoic acid, 3-methyl-, butyl ester",18598,214791,112743,17802,234301,90428
Peak_092,Styrene,14258,2573688,63766,28018,16269858,578736
Peak_093,"2-Heptanol, acetate",33352,225616,161763,53103,314810,150975
Peak_094,"Butanoic acid, 3-methylbutyl ester",91454,987611,945693,168276,2099534,669406
Peak_095,"Acetic acid, hexyl ester",31127,937956,100440,28713,1715120,69163
Peak_096,"Acetic acid, nonyl ester",31025,1010968,247644,121796,1811220,365178
Peak_097,Acetoin,16331,1443156,56985,23356,1879892,80501
Peak_098,"2-Butenoic acid, hexyl ester",11938,148998,60077,34053,231843,75968
Peak_099,"2-Hexenoic acid, methyl ester",23990,149534,106427,61887,225117,117625
Peak_100,"Butanoic acid, 3-methyl-, 3-methylbutyl ester",15967,161887,173521,24588,294780,193516
Peak_101,"4-Hexen-1-ol, (4E)-, acetate",4479,38548,8043,3746,156302,8650
Peak_102,"4-Hexen-1-ol, acetate",47340,1811833,247923,41965,2545702,358697
Peak_103,"Hexanoic acid, propyl ester",4238,167777,24439,3227,123562,9809
Peak_104,2-Heptanol,17325,88114,41463,15193,139421,30501
Peak_105,"5-Hexene-1-ol, acetate",15091,77552,31789,17080,113200,44636
Peak_106,"Silane, diethyl(trans-4-methylcyclohexyloxy)undecyloxy-",142893,135999,114259,115988,140991,106499
Peak_107,"2-Hexen-1-ol, acetate, (E)-",19814,246207,46456,18098,1140582,36485
Peak_108,"Propanoic acid, hexyl ester",3907,26550,9406,5150,44865,8039
Peak_109,"2-Hexenoic acid, ethyl ester",8853,660997,15378,5862,1691919,41963
Peak_110,"Propionic acid, 3-hydroxy-2-isopropylidene-",10673,121824,37161,13823,335236,83796
Peak_111,"Hexanoic acid, 2-methylpropyl ester",3361,147032,28546,6691,443355,47543
Peak_112,1-Hexanol,18617,1410253,65254,23817,3036219,104369
Peak_113,"Propanoic acid, 2-methyl-, hexyl ester",2319,6122,5139,3108,7852,5929
Peak_114,"Acetic acid, heptyl ester",11747,30886,16018,12751,62188,17000
Peak_115,CH3C(O)OCH(CH3)C(O)CH3,12027,87722,18277,13554,48659,23159
Peak_116,"3-Hexen-1-ol, (E)-",11689,310086,33937,21560,938276,270962
Peak_117,"Octanoic acid, methyl ester",13969,246061,107999,33175,209052,51274
Peak_118,"Butanoic acid, 1-methylhexyl ester",3190,10740,12217,3595,13785,7129
Peak_119,"Hexanoic acid, 3-pentyl ester",1701,24907,17559,2493,30719,8508
Peak_120,Methyl 2-(methylthio)acetate,817,4948,4725,2633,6315,17798
Peak_121,Cyclohexanol,9587,44192,11512,8149,254243,16529
Peak_122,"Hexanoic acid, butyl ester",2263,51321,13459,2857,46109,5040
Peak_123,"Butanoic acid, hexyl ester",6118,142028,35717,10613,159803,20831
Peak_124,"Butanoic acid, 2-methyl-, hexyl ester",3178,49776,8464,3778,100552,10234
Peak_125,n-Octanoic acid isopropyl ester,10476,49764,19507,13513,52260,19745
Peak_126,"Octanoic acid, ethyl ester",3200,1514281,16734,4717,2465702,20031
Peak_127,"Butanoic acid, 3-methyl-, hexyl ester",3289,31705,14165,4412,46479,10051
Peak_128,Isopentyl hexanoate,5309,161907,69996,8455,528456,30234
Peak_129,"Hydrazine, 1,2-dimethyl-",11799,526754,25099,14227,1196157,103538
Peak_130,"Acetic acid, octyl ester",25329,400973,71644,26724,401764,75704
Peak_131,"Butanoic acid, 3-hydroxy-, methyl ester",20572,61791,30718,30209,116753,55418
Peak_132,"1-Hexanol, 2-ethyl-",32319,61412,30339,24527,85098,31810
Peak_133,"2,6-Dihydroxyacetophenone, 2TMS derivative",45268,44787,37511,35860,48349,34401
Peak_134,2-Mercapto-4-phenylthiazole,505485,388937,291240,288415,351788,257535
Peak_135,Ethylene glycol di-n-butyrate,2330,12316,4242,3581,7222,3492
Peak_136,Benzaldehyde,41325,94214,38600,38890,522834,81433
Peak_137,2-[(Trimethylsilyl)oxy]-2-{4-[(trimethylsilyl)oxy]phenyl}ethanamine,285858,232868,179166,175763,237481,167558
Peak_138,"5H-Naphtho[2,3-c]carbazole",88636,70703,50008,53707,62444,48093
Peak_139,"5-Decen-1-ol, acetate, (E)-",13896,24584,16217,10957,30370,14905
Peak_140,"2-Butanol, 3-methyl-, (S)-",11724,62753,15331,10575,354924,27040
Peak_141,Linalool,26508,288101,97961,15076,327721,22001
Peak_142,"Formic acid, octyl ester",4615,33698,7852,4706,64529,7725
Peak_143,"Phosphonoacetic Acid, 3TMS derivative",43948,30575,25103,24889,31041,21463
