Z:\data\JTB-E02\BACandBLUE\JTB-E02-203-17.D Fri Mar 08 17:59:02 2019
Start of data points
2.09535	70183
2.10347	69888
2.11158	70035
2.11972	69542
2.12783	65406
2.13597	77962
2.14408	67765
2.15220	69837
2.16033	67570
2.16845	65381
2.17658	65527
2.18470	63384
2.19282	61927
2.20095	62168
2.20907	63506
2.21718	59395
2.22532	57998
2.23343	58269
2.24157	60366
2.24968	59377
2.25780	54479
2.26593	187380
2.27405	1129659
2.28218	1936031
2.29030	1114205
2.29842	597693
2.30655	452893
2.31467	394247
2.32280	337701
2.33092	293549
2.33903	270162
2.34717	243526
2.35528	226512
2.36340	213328
2.37153	200658
2.37965	199741
2.38778	180993
2.39590	178253
2.40402	173824
2.41215	178313
2.42027	167842
2.42840	164400
2.43652	158525
2.44463	157247
2.45277	160554
2.46088	145756
2.46900	148074
2.47713	134638
2.48525	136508
2.49338	149961
2.50150	146785
2.50962	138595
2.51775	138852
2.52587	127754
2.53400	126091
2.54212	133925
2.55023	202161
2.55837	596727
2.56648	928161
2.57462	617106
2.58273	418306
2.59085	345353
2.59898	305450
2.60710	362814
2.61522	492431
2.62335	430248
2.63147	346333
2.63960	291631
2.64772	258773
2.65583	238993
2.66397	222331
2.67208	213643
2.68022	197338
2.68833	198424
2.69645	179237
2.70458	180914
2.71270	171042
2.72083	166484
2.72895	171773
2.73707	170507
2.74520	157596
2.75332	157387
2.76143	156555
2.76957	180365
2.77768	620251
2.78582	2192777
2.79393	2745740
2.80205	1672506
2.81018	1014481
2.81830	834339
2.82643	724347
2.83455	667019
2.84267	572716
2.85080	478761
2.85892	418573
2.86703	371312
2.87517	327591
2.88328	308643
2.89142	288252
2.89953	269180
2.90765	250889
2.91578	241054
2.92390	228748
2.93203	220990
2.94015	211534
2.94827	207920
2.95640	200573
2.96452	199462
2.97265	190556
2.98077	181788
2.98888	176636
2.99702	186906
3.00513	202054
3.01325	193411
3.02138	191889
3.02950	173746
3.03763	166514
3.04575	166071
3.05387	165576
3.06200	179578
3.07012	179233
3.07825	225564
3.08637	597300
3.09448	1556420
3.10262	3069177
3.11073	5237686
3.11887	5340960
3.12698	3530588
3.13510	2401818
3.14323	1902233
3.15135	1569337
3.15947	1305863
3.16760	1143241
3.17572	1060715
3.18385	1167725
3.19197	1852423
3.20008	2377661
3.20822	1929562
3.21633	1434988
3.22447	1165741
3.23258	1016361
3.24070	894089
3.24883	775075
3.25695	711195
3.26507	637430
3.27320	589681
3.28132	570390
3.28945	718136
3.29757	1632156
3.30568	3893105
3.31382	6012143
3.32193	6135735
3.33007	4678253
3.33818	3347752
3.34630	2611631
3.35443	2162638
3.36255	1809619
3.37068	1602451
3.37880	1407789
3.38692	1279588
3.39505	1168996
3.40317	1046844
3.41128	984489
3.41942	925858
3.42753	870560
3.43567	841576
3.44378	797623
3.45190	745770
3.46003	702728
3.46815	690309
3.47628	702977
3.48440	676161
3.49252	631449
3.50065	588367
3.50877	568205
3.51688	543733
3.52502	515848
3.53313	516592
3.54127	522252
3.54938	503959
3.55750	466269
3.56563	445225
3.57375	440625
3.58188	421773
3.59000	409893
3.59812	402145
3.60625	381063
3.61437	377193
3.62250	384740
3.63062	430433
3.63873	486680
3.64687	491890
3.65498	486173
3.66310	1324363
3.67123	6137425
3.67935	1.542388E+07
3.68748	1.928095E+07
3.69560	1.465751E+07
3.70372	9035172
3.71185	6268141
3.71997	5008586
3.72810	4225650
3.73622	3614639
3.74433	3187818
3.75247	2874203
3.76058	2607478
3.76872	2397835
3.77683	2184278
3.78495	2033227
3.79308	1951247
3.80120	2053592
3.80932	2926461
3.81745	4477163
3.82557	4903566
3.83370	3831780
3.84182	2850124
3.84993	2353157
3.85807	2104013
3.86618	1875196
3.87432	1719095
3.88243	1612603
3.89055	1514161
3.89868	1444240
3.90680	1346268
3.91492	1352257
3.92305	1437903
3.93117	1581410
3.93930	1586408
3.94742	1516956
3.95553	1915254
3.96367	3007610
3.97178	3794693
3.97992	3343408
3.98803	2357360
3.99615	1978194
4.00428	2963517
4.01240	5289693
4.02053	6816777
4.02865	5680451
4.03677	3628027
4.04490	2390150
4.05302	1778358
4.06113	1479609
4.06927	1313784
4.07738	1163672
4.08552	1091218
4.09363	1023453
4.10175	978009
4.10988	915469
4.11800	873812
4.12613	812726
4.13425	799531
4.14237	786746
4.15050	797134
4.15862	805542
4.16675	789110
4.17487	797778
4.18298	789548
4.19112	759666
4.19923	717511
4.20735	812281
4.21548	1988914
4.22360	6026314
4.23173	1.281754E+07
4.23985	1.779836E+07
4.24797	1.799998E+07
4.25610	1.366772E+07
4.26422	9229054
4.27235	6705494
4.28047	5138775
4.28858	3980971
4.29672	3167097
4.30483	2601902
4.31295	2216953
4.32108	1907882
4.32920	1671410
4.33733	1502643
4.34545	1331670
4.35357	1285885
4.36170	1302081
4.36982	1315723
4.37795	1255429
4.38607	1132887
4.39418	981938
4.40232	883071
4.41043	833098
4.41857	765231
4.42668	739172
4.43480	712612
4.44293	678232
4.45105	639438
4.45917	598053
4.46730	590647
4.47542	583755
4.48355	552732
4.49167	531654
4.49978	524650
4.50792	511844
4.51603	517174
4.52417	497869
4.53228	493790
4.54040	490726
4.54853	506651
4.55665	494851
4.56477	484735
4.57290	453178
4.58102	438051
4.58915	420662
4.59727	421658
4.60538	403807
4.61352	418796
4.62163	462591
4.62977	589796
4.63788	859778
4.64600	1127354
4.65413	1098736
4.66225	889210
4.67038	699482
4.67850	606614
4.68662	569989
4.69475	520510
4.70287	471726
4.71098	442523
4.71912	409262
