,microbe,juice,hour,treat,rep,sample,equation,text,SampleID
 JTB-E02-199-11,FF,10BB,2,process,1,P01,FF10BB02P01,FF10BB02P01,H02P01
 JTB-E02-199-15,FF,10BB,2,treat,2,R02,FF10BB02R02,FF10BB02R02,H02R02
JTB-E02-203-17,PA,10BB,2,treat,4,R04,PA10BB02R04,PA10BB02R04,H02R04
JTB-E02-204-13,PA,10BB,24,process,3,P03,PA10BB24P03,PA10BB24P03,H24P03
