Peak_ID,Library/ID,PA10BB02R04,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04
Peak_267,Thymol,0,0.00,3188238.00,3927588.00,2920340.00,0.00,3683271.00,0.00,2078554.00,0.00,0.00,2627688.00,2215097.00,3117124.00,3541291.00,3228253.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_269,"Furan, 3-phenyl-",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_270,Benzyl alcohol,17179972,8563688.00,17199834.00,13978936.00,10698652.00,22525968.00,28308179.00,22363049.00,21955302.00,28460425.00,27735007.00,30820686.00,25005064.00,25352179.00,25632728.00,26738154.00,1424277.00,1596489.00,1683893.00,1159518,1703447.00,1216111.00,1340121.00
Peak_271,"Cyclotetrasiloxane, octamethyl-",0,0.00,4489066.00,6863701.00,13426471.00,149020.00,3829867.00,5329101.00,6162490.00,0.00,8072087.00,4711666.00,0.00,9134378.00,7001567.00,6149988.00,10217143.00,7982106.00,4768848.00,5887425,13710596.00,1784507.00,11344502.00
Peak_273,"Cyclotetrasiloxane, octamethyl-",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2450366.00,0,0.00,0.00,0.00
Peak_274,"1-naphthalenamine, 5-methoxy-",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2392926.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_276,Phenylethyl Alcohol,2444421,1151001.00,2705247.00,3111376.00,2046810.00,7166525.00,8450796.00,7832884.00,7771573.00,12927600.00,14311379.00,14751527.00,13405642.00,2804394.00,3679870.00,3465881.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_277,"Benzenecarbothioic acid, S-methyl ester",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1337920.00,1455311.00,1129983.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_278,"Benzonitrile, 2-methyl-",5691958,3547752.00,5742088.00,6621259.00,5287055.00,4450577.00,5441005.00,4885505.00,5464004.00,5298875.00,4988171.00,5575768.00,5169222.00,5345080.00,6190195.00,6333459.00,0.00,0.00,32349937.00,1877624,2939015.00,2272198.00,1846870.00
Peak_279,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",2995469,0.00,3010656.00,2897755.00,3467783.00,2887647.00,2619028.00,3259405.00,3415830.00,2554875.00,3241364.00,4133925.00,2467036.00,2550367.00,2338336.00,3592141.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_285,"Cyclopentasiloxane, decamethyl-",0,0.00,0,0,7575861.00,0.00,0.00,3519155.00,0.00,0.00,7210150.00,7647621.00,0.00,1637076.00,4683653.00,1194963.00,0.00,770413.00,0.00,0,0.00,0.00,0.00
Peak_289,Phenol,2440953,0.00,2443531.00,2781679.00,2472541.00,0.00,2672039.00,2425847.00,2149943.00,1871981.00,0.00,0.00,2579130.00,2427558.00,2548825.00,4022259.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_292,p-Cresol,8000924,6586099.00,7993296.00,8810313.00,7292569.00,6884742.00,8579940.00,7428280.00,7406738.00,8269858.00,7433439.00,8774540.00,8164069.00,8601139.00,8930666.00,10035987.00,1614219.00,1133193.00,574531.00,1152278,467512.00,1954749.00,0.00
Peak_297,3-Allyl-6-methoxyphenol,1377619,0.00,0,0.00,0.00,2004573.00,3198658.00,2021721.00,1691181.00,3328728.00,4606019.00,3282364.00,2745832.00,0.00,450256.00,0,408937.00,1685487.00,0.00,6800949,4119215.00,0.00,5786691.00
0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1467817.00,0.00,0,0.00,0.00,0.00
