Peak_ID,Library/ID,PA10BB02R04,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04
Peak_104,"(2R,5R)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",0,0,43204122.00,43403898.00,37101356.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,52784414.00,45220634.00,0.00,0.00,0.00,0.00,983556442,1092057329.00,933922570.00,938521986.00
Peak_108,"2-Butenoic acid, 3-methyl-, ethyl ester",0,6181512.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6843851.00,6498389.00,6308800.00,0.00,0.00,0.00,0,5325288.00,0.00,0.00
Peak_110,"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1.alpha.,2.alpha.,5.alpha.)-",0,4611075.00,4365247.00,5225638.00,3480606.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4982487.00,3312393.00,6409201.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_113,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",172853876,131602752.00,172451686.00,146680514.00,139442787.00,21621926.00,29412650.00,25251128.00,27612999.00,8111839.00,11089013.00,12093848.00,11148666.00,121857056.00,120957659.00,138598864.00,0.00,0.00,0.00,21932312,19204196.00,0.00,0.00
Peak_115,Thiazole,14083007,9839429.00,13594320.00,14914225.00,13605049.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16252283.00,13203494.00,14405493.00,0.00,0.00,0.00,0,1943781.00,27156616.00,22812345.00
Peak_117,1-PENTANOL,6639428,4286962.00,6205538.00,7897775.00,6254030.00,5369066.00,4899487.00,3320178.00,3332283.00,3486193.00,5837055.00,6144185.00,5881300.00,7547573.00,6541367.00,7963276.00,0,0.00,0.00,2054389,1981581.00,5725379.00,5202767.00
Peak_120,"Pyrazine, methyl-",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2188163.00,1178719.00,1877418.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_122,"Benzene, 1,2,4,5-tetramethyl-",78872364,69498654.00,77140196.00,78741217.00,60376940.00,3729583.00,6642101.00,5763471.00,5489598.00,0.00,0.00,0.00,0.00,41380908.00,45085141.00,57868874.00,0.00,0.00,0.00,3783206,2786199.00,4866450.00,6374069.00
Peak_123,"Benzene, 1-methyl-3-(1-methylethyl)-",26259540,0.00,22438205.00,0.00,10636474.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9091623.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_127,"Propanoic acid, 2,2-dichloro-3-methoxy-, methyl ester",0,4026098.00,5116617.00,4381217.00,0,2469013.00,2621975.00,2060201.00,2582266.00,2247995.00,3549568.00,2852492.00,2793174.00,11151185.00,9832140.00,10189397.00,0.00,0.00,0.00,1128490,1713354.00,0.00,0.00
Peak_132,Dimethyl sulfone,0,25762418.00,31221264.00,30530555.00,28827869.00,0.00,0.00,0.00,17128927.00,0.00,0.00,0.00,0.00,26846380.00,27100663.00,28714791.00,5339514.00,4821376.00,11213291.00,14707844,15153686.00,0.00,13491677.00
Peak_133,"Pyrazine, 2,6-dimethyl-",6581836,6057245.00,6581836.00,6674212.00,6888854.00,5673949.00,4860917.00,5823443.00,4684184.00,4233908.00,3126962.00,4118402.00,6289475.00,6533937.00,7304624.00,7089588.00,5709162.00,7836617.00,0.00,0,0.00,0.00,0.00
Peak_134,Mesitylene,2373055,0.00,2373055.00,1801295.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1586655.00,0.00,0.00,5302472.00,6273150.00,5381871.00,6401397,6853932.00,6745327.00,5343578.00
Peak_135,2-Chloro-4-(4-methoxyphenyl)-6-(4-nitrophenyl)pyrimidine,11865742,10194666.00,11865742.00,9520066.00,17943723.00,9144747.00,4552952.00,12942355.00,8635292.00,4091397.00,6393792.00,6061967.00,7085063.00,13049545.00,11783451.00,12237454.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_137,1-Hexanol,205899590,167032235.00,204436063.00,195866305.00,181303588.00,154180790.00,183526423.00,160985356.00,167989425.00,142273247.00,161089569.00,178089589.00,154230828.00,168798548.00,165556520.00,185277677.00,0.00,4086679.00,0.00,8493220,0.00,8239171.00,10583875.00
Peak_140,Mesitylene,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1536429.00,0.00,141081836,143246135.00,159427060.00,131136676.00
Peak_141,Dimethyl trisulfide,0,31936236.00,42924785.00,26597918.00,32346295.00,4837239.00,4521175.00,0.00,0.00,0.00,0.00,0.00,3373236.00,23775436.00,24456462.00,28855856.00,0.00,0.00,0.00,0,3820761.00,3311582.00,3546335.00
Peak_142,Dimethyl trisulfide,44737933,0.00,0.00,0.00,0.00,0.00,0.00,6006545.00,8345476.00,0.00,0.00,3960930.00,0.00,0.00,0.00,0.00,874002.00,0.00,723404.00,0,0.00,0.00,0.00
Peak_143,"3-Hexen-1-ol, (E)-",14415104,10562365.00,13778999.00,14434657.00,12410827.00,13470107.00,16681954.00,11795631.00,12272940.00,16667137.00,20030898.00,19332811.00,15257810.00,12843736.00,12055336.00,11965381.00,2608833.00,3798067.00,2974213.00,3290617,0.00,0.00,0.00
Peak_149,"Pyrazine, 2-butyl-3,5-dimethyl-",2410883,0.00,2223465.00,2114734.00,2559689.00,0.00,0.00,1054562.00,1666954.00,0.00,0.00,1311415.00,845082.00,2378934.00,2451528.00,2393115.00,8163487.00,9836329.00,8177390.00,9144392,10845617.00,10984845.00,9434230.00
Peak_150,"2-Hexen-1-ol, (E)-",35917465,25080553.00,35619800.00,35492140.00,31857116.00,25324053.00,30723166.00,26713164.00,31775684.00,26709349.00,27024908.00,29945841.00,26574946.00,26877771.00,26870958.00,30172782.00,0.00,0.00,0.00,0,1427133.00,2978804.00,3669837.00
Peak_151,2-Methyl-3-isopropylpyrazine,0,0.00,4329027.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3614212.00,3231497.00,3750746.00,0.00,0.00,0.00,2375841,2078358.00,0.00,0.00
Peak_152,"Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-",10741507,6523981.00,10730525.00,8383875.00,10104119.00,0.00,0.00,3318720.00,3255296.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2956591.00,3618902.00,1989240.00,0,0.00,0.00,0.00
Peak_153,"Benzene, 4-ethenyl-1,2-dimethyl-",1940380,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1117660.00,1176303.00,1218761.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_155,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,25871045,30169563.00,25847546.00,24088159.00,22456759.00,35466628.00,44381650.00,32819205.00,35118414.00,43261231.00,51662707.00,49876892.00,39996976.00,19911174.00,18749107.00,20615031.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_156,"Pyrazine, 2,6-diethyl-",11958882,0.00,11925532.00,11766126.00,11258846.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12440934.00,11387342.00,12326048.00,1251754.00,1930738.00,1630382.00,1349885,2179566.00,1855975.00,1933362.00
Peak_157,Methional,0,3305866.00,4852215.00,3673587.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3371679.00,3220313.00,3599575.00,17774426.00,25230903.00,15186328.00,21496552,22854685.00,26893636.00,17472821.00
Peak_158,1-Octen-3-ol,4906633,0.00,0.00,0.00,0,0.00,2400352.00,0.00,2576903.00,0.00,0.00,0.00,0.00,0,0,0,1545524.00,2268367.00,1397663.00,2005218,3270769.00,2171554.00,2087586.00
Peak_160,"Cyclopentane, 1,2,3-trimethyl-",0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_161,Furfural,65687856,50481705.00,65561346.00,65176235.00,59824961.00,26281733.00,16136044.00,38555794.00,44014550.00,19720252.00,12627282.00,33126363.00,34121813.00,7904331.00,7342984.00,9377075.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_163,"3,6-dihydro-4-methyl-2-(2-methyl-1-propenyl)-2H-Pyran",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8583887.00,0.00,8360006.00,8107607,10069740.00,8908260.00,9413893.00
Peak_164,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,14081900,8989917.00,13978567.00,10825311.00,9703011.00,9559867.00,13007566.00,8220707.00,9031510.00,14410346.00,16638535.00,15215574.00,10479358.00,8994651.00,8595404.00,9962636.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_165,"Pyrazine, 2,5-dimethyl-3-propyl-",3343542,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2696463.00,2159595.00,2313991.00,0.00,2885081.00,0.00,0,0.00,0.00,0.00
Peak_168,"Benzene, 1,2,4,5-tetramethyl-",1863134,0.00,0.00,0.00,0.00,3060088.00,0.00,0,0.00,9131121.00,4912129.00,5436285.00,0.00,750644.00,0.00,941033.00,12855377.00,14922312.00,0.00,0,5489865.00,5661012.00,6813584.00
Peak_173,"1-Hexanol, 2-ethyl-",3170591,1884913.00,3093380.00,3105434.00,2952681.00,8808886.00,16188257.00,12788844.00,13579711.00,14152461.00,19971041.00,20604295.00,9663448.00,11717551.00,2425056.00,1848351.00,10031706.00,8706642.00,0,0,0.00,0.00,7998492.00
Peak_175,"2,4,6-Trimethyl-1,3-phenylenediamine",1394493,0.00,0,0.00,0.00,0.00,6644726.00,6868244.00,7157949.00,0.00,0.00,0.00,6063281.00,9120453.00,6011277.00,5828013.00,7015925.00,5133495.00,7005578.00,13012382,7507509.00,0.00,8014944.00
Peak_177,1-(2-furanyl)-Ethanone,12155774,5560939.00,12008876.00,13068987.00,13490425.00,0.00,12864987.00,10744613.00,9913530.00,0,11177184.00,9902001.00,9402220.00,11536603.00,10408195.00,9744311.00,0.00,0.00,3235783.00,5342960,0.00,13248373.00,4654141.00
Peak_180,2-Mercapto-4-phenylthiazole,22992681,20576279.00,22863592.00,33239013.00,33770778.00,20992834.00,26353018.00,27835400.00,24836028.00,23600984.00,23796913.00,26632640.00,19877293.00,37783990.00,27478693.00,21708003.00,0.00,0.00,0.00,24423118,0.00,4158566.00,0.00
Peak_181,Dill ether,7406888,6838481.00,7356140.00,8248016.00,8529537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9627344.00,8889116.00,8355118.00,13801677.00,37324233.00,38284135.00,0,9359154.00,9386468.00,12416332.00
Peak_182,Benzaldehyde,1227020471,1057112464.00,1226741592.00,1251239996.00,1196882551.00,476157741.00,276269511.00,667864917.00,783102508.00,301923721.00,182891223.00,445198477.00,475025915.00,115672892.00,126449714.00,165047949.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_183,"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5301181.00,0.00,0.00,0,8087701.00,7514350.00,10228859.00
Peak_184,2-(1-methyl-2-buthenyl)-4-methoxy-Phenol,141180281,104654681.00,141066952.00,118663465.00,108838030.00,13535950.00,15214153.00,16247876.00,19968616.00,12379090.00,10314478.00,15241159.00,10782810.00,82156938.00,81620781.00,99226897.00,8868612.00,8896527.00,7801092.00,8045430,8185488.00,7328778.00,9785160.00
Peak_185,"11H-Dibenzo[b,e][1,4]diazepin-11-one, 5-(3-aminopropyl)-5,10-dihydro-",0,84831305.00,111927514.00,99926886.00,97399987.00,20005161.00,24170720.00,28962898.00,28103704.00,21215309.00,20106492.00,29799259.00,17395628.00,82905407.00,68331221.00,80862420.00,10740107.00,12394491.00,11380520.00,11869176,8696026.00,9940633.00,11108146.00
Peak_186,"Phenol, 2-(1-methyl-2-buthenyl)-4-methoxy-",0,0.00,0.00,0.00,12664738.00,6612898.00,6514631.00,6258300.00,0.00,0.00,3272348.00,0.00,0.00,10768313.00,6840270.00,6533767.00,0.00,0.00,0.00,11357017,0.00,0.00,0.00
Peak_187,Linalool,22549883,17272527.00,23012088.00,20079723.00,20109599.00,0.00,10998154.00,10752319.00,11543773.00,7544027.00,6543717.00,12185709.00,5907696.00,18908734.00,17092172.00,18655773.00,11631156.00,11727456.00,10983043.00,0,9748360.00,9229772.00,12759581.00
Peak_188,"1,5,5-Trimethyl-6-methylene-cyclohexene",9434035,6500384.00,9175690.00,6669270.00,6573051.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4845599.00,3708868.00,4285313.00,26885903.00,22852948.00,18368646.00,24884189,22416861.00,15399823.00,30388412.00
Peak_189,1-Octanol,13444823,8001456.00,13393431.00,9329811.00,11603266.00,4542873.00,6049128.00,4607130.00,4503047.00,3969337.00,5081998.00,9471586.00,3445665.00,8595845.00,5800890.00,5502595.00,0.00,4591777.00,0.00,5437313,4717861.00,4435651.00,4726385.00
Peak_190,"2-Furancarboxaldehyde, 5-methyl-",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128138973.00,178497830.00,106534307.00,198124427,83788407.00,87464343.00,122183938.00
Peak_191,"2-Furancarboxaldehyde, 5-methyl-",4676116,0.00,4176570.00,0.00,5392637.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6391310.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_192,Dimethyl Sulfoxide,0,2684455.00,0.00,4803825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2369357.00,2193054.00,8962194.00,13008162.00,9122714.00,16231676,9117029.00,9162162.00,12563619.00
Peak_193,"Phosphonoacetic Acid, 3TMS derivative",5832715,0.00,5519793.00,3454773.00,7801939.00,3330798.00,3692785.00,3812606.00,3392745.00,0.00,3260794.00,4702097.00,0.00,6989233.00,3598693.00,3324305.00,24459292.00,25967700.00,16488357.00,29898547,21271482.00,16040569.00,25709544.00
Peak_194,"Butethal, 2TMS derivative",3224962,0.00,0.00,2733612.00,3947021.00,0.00,2288735.00,0.00,0.00,0.00,0,0,0.00,4508144.00,3258623.00,2892986.00,5922420.00,6517771.00,4837446.00,7131534,4288766.00,1621703.00,7914230.00
Peak_196,Benzonitrile,5317369,4871216.00,5129619.00,5980802.00,5714799.00,2146956.00,4491225.00,4337085.00,3818866.00,2577727.00,2082527.00,2123689.00,3253567.00,7296765.00,7220265.00,9304403.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_197,Terpinen-4-ol,5888809,4531606.00,5740736.00,5408244.00,5107624.00,1587499.00,3480821.00,3255562.00,2928301.00,4828533.00,3322413.00,3457602.00,2551841.00,4838027.00,5300500.00,5959097.00,1488694.00,4729013.00,2289368.00,4610204,2624049.00,2764290.00,6104775.00
Peak_199,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans-",4074832,3194013.00,3824697.00,3834485.00,3754995.00,592290.00,6289832.00,4270861.00,0.00,6516735.00,1900797.00,1920450.00,0.00,1819608.00,3185695.00,3451937.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_200,Peak_200,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2351420.00,0.00,0.00,0.00,0.00,0.00,2745625,0.00,0.00,3089445.00
Peak_201,"3-Cyclohexene-1-acetaldehyde, .alpha.,4-dimethyl-",6811221,4945023.00,6267751.00,8174540.00,7391884.00,2583834.00,7481225.00,6816233.00,4977856.00,6297491.00,1619553.00,2721187.00,5669099.00,5782770.00,4458006.00,4929710.00,2266414.00,4185298.00,1662155.00,4103814,2571478.00,2855292.00,5179768.00
Peak_202,"1H-Pyrrole-2-carboxaldehyde, 5-methyl-",5811082,4451700.00,5105473.00,6418148.00,6901527.00,0.00,3757367.00,4790179.00,3067792.00,0.00,0.00,0.00,3377361.00,0.00,1935173.00,2734488.00,1643709.00,2661757.00,781667.00,2068850,2347896.00,1111902.00,2561861.00
Peak_203,Butyrolactone,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_204,"1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-",11747080,9167551.00,9106397.00,13266909.00,12283255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,11615696.00,6058012.00,8684903.00,4664733.00,7122983.00,6046696.00,7093340.00,4419712.00
