"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\","JTB-E02-208-24.D","14 Mar 2019  12:40    ","CTRL02   E-2"," "
"PBM Apex"
"Thu May 09 15:59:45 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
 68, 12.4390, 0.1751,"Butanoic acid, pentyl ester", 31291,"000540-18-1",78
 69, 12.6489, 1.0333,"Acetic acid, hexyl ester", 21425,"000142-92-7",90
 70, 12.8225, 0.2288,"Acetic acid, nonyl ester", 52746,"000143-13-5",43
 71, 13.0149, 0.1872,"2-Nonanol", 21659,"000628-99-9",53
 72, 13.1896, 0.0661,"Caprolactam",  7051,"000105-60-2",41
 73, 13.3633, 0.0406,"Butanoic acid, 3-methyl-, 3-methylbutyl ester", 41386,"000659-70-1",80
 74, 13.5666, 0.0134,"Methyl(methyl 2,3,4-tri-O-methyl-.alpha.-D-glucopyranoside)uronate",124092,"052729-97-2",38
 75, 13.6983, 0.0085,"(E)-4,8-Dimethylnona-1,3,7-triene", 24654,"019945-61-0",49
 76, 13.7618, 0.0072,"trans-3-Hexen-1-ol, trifluoroacetate", 62082,"1000352-31-0",43
 77, 14.0380, 0.1837,"3-Hexen-1-ol, acetate, (E)-", 20188,"003681-82-1",83
 78, 14.1131, 0.0393,"Hexanoic acid, propyl ester", 31280,"000626-77-7",53
 79, 14.2234, 0.0490,"Prenol",  1723,"000556-82-1",46
 80, 14.5009, 0.0120,"3,7,11,15-tetramethylhexadecan-1,2,3-triol silylated",270600,"1000383-73-3",53
 81, 14.5736, 0.0416,"2-Hexen-1-ol, acetate, (Z)-", 20190,"056922-75-9",89
 82, 14.6696, 0.0074,"5-Hepten-2-one, 6-methyl-", 11625,"000110-93-0",46
 83, 14.9390, 0.1126,"2-Hexenoic acid, ethyl ester", 20222,"001552-67-6",96
 84, 15.1925, 0.0160,"Hexanoic acid, 2-methylpropyl ester", 41333,"000105-79-3",72
 85, 15.2787, 0.1760,"1-Hexanol",  4487,"000111-27-3",78
 86, 16.0497, 0.0042,"4-Methyl-2-pentyl acetate", 21437,"000108-84-9",27
 87, 16.1726, 0.0018,"2-Hexen-1-ol, (Z)-",  3871,"000928-94-9",38
 88, 16.2458, 0.0407,"3-Hexen-1-ol, (E)-",  3891,"000928-97-2",96
 89, 16.3522, 0.0370,"Octanoic acid, methyl ester", 31295,"000111-11-5",97
 90, 16.4516, 0.0093,"L-Asparagine", 14477,"000070-47-3",14
 91, 16.8182, 0.0078,"1-Penten-3-ol, 3-ethyl-2-methyl-", 12903,"028832-46-4",64
 92, 16.9354, 0.0054,"2-Hexen-1-ol, (E)-",  3883,"000928-95-0",46
 93, 17.1049, 0.0084,"Hexanoic acid, butyl ester", 41266,"000626-82-4",72
 94, 17.1931, 0.0332,"Propanoic acid, 2-methyl-, hexyl ester", 41344,"002349-07-7",90
 95, 17.3674, 0.0072,"Propanoic acid, 2-methyl-, octyl ester", 65069,"000109-15-9",27
 96, 17.5490, 0.0076,"Butanoic acid, 2-methyl-, hexyl ester", 52812,"010032-15-2",68
 97, 17.6960, 0.0061,"6,8-Nonadien-2-one", 17951,"077828-54-7",72
 98, 17.7839, 0.2088,"Octanoic acid, ethyl ester", 41271,"000106-32-1",98
 99, 18.1080, 0.0169,"2-Hydroxyethyl butyl sulfide", 15467,"005331-37-3",60
100, 18.5400, 0.0149,"Isopentyl hexanoate", 52729,"002198-61-0",83
101, 18.5955, 0.1069,"Acetic acid",   264,"000064-19-7",72
102, 18.8298, 0.0187,"Acetic acid",   264,"000064-19-7",64
103, 18.9699, 0.0172,"cis-3-Hexenyl isovalerate", 50994,"035154-45-1",38
104, 19.0455, 0.0824,"Acetic acid, octyl ester", 41247,"000112-14-1",91
105, 19.5736, 0.0108,"1-Hexanol, 2-ethyl-", 13977,"000104-76-7",47
106, 19.8209, 0.0090,"Pentasiloxane, dodecamethyl-",229154,"000141-63-9",28
