Peak_ID,Compound Method,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_027,"Disulfide, dimethyl",83,2523,0,8569173,0,2069558,10464584,11568039,6010642,9148104,4370,5303,273,1178147,1315462,1427175,1409189,1524261,2034757,2178296,474,286,0,177663,295610,320270,246690,428130,752200,280878
peak_028,"Butanenitrile, 2-methyl-",1211,433,205,162765,57715,167534,172435,205970,182054,197397,651,57,95,148801,152827,145291,138886,158796,145322,154800,333,745,0,72844,114735,73205,101614,116395,129321,105532
peak_029,"2-Butenal, 2-methyl-",645,0,366,150251,855,141582,178669,210070,179889,205789,358,623,216,82865,164369,110270,150513,131894,167390,172310,247,0,0,143010,125402,140403,132126,87762,164484,127858
peak_030,"1-Propanol, 2-methyl-",107,0,2274,1437382,1148,1423897,0,2028129,1880524,1912224,230,316,0,1588184,912832,1618540,1827840,1836091,1929089,1854395,455,0,544,1423257,1700523,1565772,1731439,1636682,1895567,1801381
peak_031,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",0,0,0,1683256,56912,0,0,2388705,2463076,1910680,0,0,0,430128,555927,553816,433572,539904,366718,545677,160,0,0,173045,240022,241139,183448,172166,224431,191121
peak_032,"1-Butanol, 3-methyl-, acetate",190,0,1227,71440,0,0,0,99897,112956,96389,0,1548,470,0,0,29248,0,31166,23739,3830,229,1104,1807,0,9786,0,0,0,0,13384
peak_033,"Butanenitrile, 3-methyl-",236,25,180,42,50,844,595,1830,679,1197,364,272,295,1072,1083,1087,643,204,363,1208,129,57,225,1886,667,1947,253,852,743,242
peak_034,"2-Pentene, 4,4-dimethyl-",310,167,0,30102,150,30677,39870,47166,47009,45456,464,936,418,30442,35796,17022,29569,38380,36682,34109,727,161,221,27185,29542,29747,27794,29222,27842,30473
peak_035,o-Xylene,19983,0,477,38148,577,0,35423,47449,56233,45196,934,323,407,5671,19749,16723,13730,29081,38942,32093,0,0,1027,26218,6510,8164,15207,10994,9784,11576
peak_036,1-Butanol,0,0,0,236073,0,231470,363724,545231,432386,428977,0,1474,0,260855,253447,310900,661869,724102,536918,561466,3237,952,0,256636,296841,302245,794917,907771,777487,663654
peak_037,"Cyclopentasiloxane, decamethyl-",1621145,1130343,15506,295769,0,230549,194963,199647,203801,384088,536560,427914,273600,419150,630966,444294,286937,234005,319362,288777,627587,449665,95688,991794,542467,493704,288496,329490,365102,234579
peak_038,"2-Butenoic acid, 3-methyl-, methyl ester",926,769,250,104706,241,43260,134734,170414,166098,168799,137,122,190,52872,46253,70448,54562,78984,71631,70891,280,0,0,27685,29964,30289,27793,34443,35152,33910
peak_039,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",60,190,0,67296,0,96762,106478,114438,107263,105017,0,175,0,30870,35761,32365,25996,33233,24978,34838,294,417,0,15464,18797,24280,14486,16474,21911,18490
peak_040,2-Heptanone,1977,3587,616,26848,0,31517,29386,39245,41588,44046,304,1784,1925,14481,14897,20163,33702,64958,42272,51875,0,295,108,12409,7440,10583,40137,59770,47096,51355
peak_041,"2-Butenal, 3-methyl-",5703,2495,0,78002,5791,0,104947,159896,104527,125044,387,0,60,12003,15724,15065,12198,12627,17110,21863,1257,353,0,3217,2644,5900,6728,4524,6814,6677
peak_042,"1-Butanol, 3-methyl-",1456,3507,178,5382474,0,4673163,7531782,9892330,9034880,9183381,3756,4273,7067,5433724,6281174,5145772,11275655,11316347,11112356,10988136,680,6470,740,5217548,5640221,5155465,11847598,11684296,13733921,11787905
peak_043,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",258,302,525,1075541,0,1368654,1407237,1619083,1488385,1324457,209,478,94,251512,312984,288702,224687,290073,243596,271473,796,145,399,51773,116387,76247,88192,90212,114290,95421
peak_044,Thiazole,884,667,0,84415,0,108703,98058,115228,117867,116693,2303,1114,452,110446,113385,121240,103262,127136,115748,113508,693,1092,140,110008,111447,122033,105728,104751,129102,98816
peak_045,1-Pentanol,446,482,84,36424,0,40665,36483,51152,53178,49283,0,787,1234,38525,36703,47832,45134,55828,51684,50518,247,628,121,38066,40169,41754,36918,53968,53472,48912
peak_046,3-Aminopyridine,717,734,0,33740,0,52839,44015,54122,53160,53670,1789,139,775,53656,55562,63010,43159,52590,47555,49665,249,1090,344,47738,51043,57787,45698,48628,52200,52482
peak_047,o-Cymene,2081,3396,577,1407289,0,2193766,2059490,2382483,2062914,1887910,0,0,0,157509,220237,221072,143614,186305,163318,176035,0,881,0,29332,38649,39385,19015,27863,30587,29969
peak_048,Methyl 4-benzoylbutyrate,4484,0,325,80928,0,192022,80343,61564,83253,104895,959,0,1084,70761,72799,83041,45322,62890,76768,52028,5711,1711,409,118373,68058,67406,48765,50222,56387,43841
peak_049,"Pyrazine, 2,6-dimethyl-",0,8979,207,119061,0,149445,158945,174586,167079,190031,328,509,2731,164123,178326,178767,156841,142903,157468,139868,1112,1796,162,167552,171554,162464,115047,137821,157003,136676
peak_050,1-Hexanol,7762,1860,139,2600120,0,3212968,3594079,4063653,3721689,3611004,23590,32079,25047,2897110,3304499,3077319,2941442,3587186,3163837,3152157,15091,27204,1004,2658348,2822207,2702299,2772364,2838610,3529628,2758426
peak_051,Dimethyl trisulfide,0,0,0,196000,254818,57214,372361,565282,123015,298841,0,0,221,26325,9859,25551,31518,20511,68597,118429,0,0,332,3820,2904,5747,6273,5989,35269,13777
peak_052,"3-Hexen-1-ol, (E)-",865,352,339,90032,0,127001,153485,171792,182387,158410,241,1569,130,123696,141450,128130,196046,232278,186478,174749,366,1564,1645,115551,130863,126817,282746,306730,300687,229362
peak_053,2-Nonanone,0,782,29,5331,0,11533,9215,15790,13000,14681,545,547,785,563,1929,2095,19167,28794,27086,30826,302,1254,205,366,220,233,15156,21355,21888,25966
peak_054,"Pyrazine, 2-ethyl-6-methyl-",643,718,0,20441,0,27101,20290,35593,21689,37132,377,781,949,23410,23441,32102,20226,28565,26751,27471,2055,2307,32,21177,25481,23399,18920,18980,27691,25419
peak_055,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",247,224,0,38960,0,67600,56173,71738,66890,69004,1353,225,256,56854,67789,44477,50915,61267,29008,61020,513,1067,146,56734,64122,64200,55136,53203,59904,56620
peak_056,"2-Hexen-1-ol, (E)-",0,0,0,458535,543044,589732,685241,752711,754980,704166,2321,0,3540,551750,663974,610997,583747,725316,630389,628396,3067,3169,209,553234,557865,551559,571580,579953,718142,556016
