Peak_ID,Library\ID,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_027,"Butanoic acid, 3-methyl-, ethyl ester",271,0,333,387581,517,444051,449861,580906,442687,466458,571,552,148,118993,148090,130724,104773,146574,122970,130488,298,291,593,40976,48821,46971,37973,45176,50228,48312
peak_028,"Disulfide, dimethyl",83,2523,0,8569173,0,2069558,10464584,11568039,6010642,9148104,4370,5303,273,1178147,1315462,1427175,1409189,1524261,2034757,2178296,239,286,0,177663,295610,320270,246690,428130,752200,280878
peak_029,"Butanenitrile, 2-methyl-",1211,433,205,162765,57715,167534,172435,205970,182054,197397,651,57,95,148801,152827,145291,138886,158796,145322,154800,333,745,0,72844,114735,73205,101614,116395,129321,105532
peak_030,"Disulfide, dimethyl1",587,237,0,35817,6464,0,0,212877,10270,168847,0,88,0,929,1901,18721,0,1424,11196,5094,474,576,34,625,3863,3228,665,1228,5172,243
peak_031,"2-Butenal, 2-methyl-",645,0,366,150251,855,141582,178669,210070,179889,205789,358,623,216,82865,164369,110270,150513,131894,167390,172310,247,0,0,143010,125402,140403,132126,87762,164484,127858
peak_032,"1-Propanol, 2-methyl-",107,0,2274,1437382,1148,1423897,0,2028129,1880524,1912224,230,316,0,1588184,912832,1618540,1827840,1836091,1929089,1854395,455,0,544,1423257,1700523,1565772,1731439,1636682,1895567,1801381
peak_033,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",0,0,0,1948634,56912,0,0,3068869,2781425,2446985,0,0,0,434756,558967,583775,477457,642716,503069,600265,160,0,0,173270,246609,241905,186025,205603,268446,238341
peak_034,"1-Butanol, 3-methyl-, acetate",190,0,1227,71440,0,0,0,99897,112956,96389,0,1548,470,0,0,29248,0,31166,23739,3830,229,1104,346,0,9786,0,0,0,0,13384
peak_035,"Butanenitrile, 3-methyl-",561,664,0,310,79,924,678,1297,157,495,364,429,0,0,2021,642,743,56,73,1958,1000,312,0,160,1213,1882,0,50,284,53
peak_036,"2-Pentene, 4,4-dimethyl-",534,369,0,29709,150,18042,41124,53323,52683,47346,464,938,0,31497,37112,33670,34010,44833,39524,39063,727,195,221,27185,14954,31191,29022,37958,37756,33068
peak_037,o-Xylene,19983,0,477,47406,548,0,35863,61009,57627,58103,4050,507,362,5413,19749,18200,17308,32891,46200,32390,276,0,1027,26218,6517,8096,17134,14391,10761,15243
peak_038,1-Butanol,8778,13232,625,236073,0,248274,248677,616309,432386,500442,0,4818,3674,294719,253447,311397,661869,805440,595606,561466,3538,474,0,295285,299487,321643,794917,925479,826856,673830
peak_039,"Cyclopentasiloxane, decamethyl-",915469,618944,15506,354123,0,232343,201616,245393,142966,455036,217128,428969,273600,109548,641696,450055,218059,278643,377499,324783,644412,457801,95688,999648,549392,148013,186474,391150,420595,288701
peak_040,"2-Butenoic acid, ethyl ester, (E)-",548,0,0,45226,1158,44347,56651,65113,58814,62493,661,71,0,25563,31601,24438,25112,37472,32112,31051,19,400,565,15311,3666,16588,15624,16111,16315,19093
peak_041,"2-Butenoic acid, 3-methyl-, methyl ester",926,769,250,104706,241,43260,134734,170414,166098,168799,137,122,190,52872,46253,70448,54562,78984,71631,70891,280,0,0,27685,29964,30289,27793,34443,35152,33910
peak_042,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",60,190,0,84405,0,97055,113505,145028,137263,111721,0,175,0,31781,37564,36295,31376,39566,32305,39908,555,417,0,3748,21405,24280,16126,19629,23078,19814
peak_043,p-Xylene,10480,18933,156,41625,0,44650,39767,53692,52785,49390,1628,365,0,13309,8457,11706,6824,17478,9261,14924,4530,3563,302,13756,6619,5253,5266,4691,4734,6024
peak_044,D-Limonene,900,813,0,90335,5380,0,0,149006,135986,132170,387,0,0,0,14105,14446,11451,19495,13153,25858,1202,541,0,1252,2644,3638,6847,7444,8577,8221
peak_045,"1-Butanol, 3-methyl-",2322,2651,1005,5382474,0,5522465,7531782,9892330,9171018,9183381,6129,8953,7912,5672441,6281174,5972247,11428589,11396866,11187067,11154556,6320,6564,185,5217548,6052318,5548256,12073093,11844836,13837832,12089571
peak_046,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",218,273,316,85439,0,0,0,92560,116908,68457,202,0,277,7102,2802,973,18861,15278,15962,26119,596,172,58,3437,1400,5786,885,3635,4497,435
peak_047,1-(3-Hydroxyphenyl)urea,0,409,0,11524,0,0,11394,20521,17128,11184,0,181,381,0,3155,0,2603,3797,3383,4910,213,0,0,0,1639,737,2244,2598,717,2009
peak_048,"2-Butenoic acid, 3-methyl-, ethyl ester",342,646,308,27130,1101,43290,47859,55200,45619,41975,116,335,0,8610,8581,15103,8918,14068,12744,10597,0,0,45,4642,3804,4788,2674,4592,4401,5571
peak_049,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran1",258,302,525,1075541,0,1368654,1407237,1619083,1488385,1324457,209,478,94,251512,312984,288702,224687,290073,243596,271473,796,145,399,51773,116387,76247,88192,90212,114290,95421
peak_050,Thiazole,884,667,0,84415,0,108703,98058,115228,117867,116693,2303,1114,452,110446,113385,121240,103262,127136,115748,113508,693,1092,140,110008,111447,122033,105728,104751,129102,98816
peak_051,1-Pentanol,446,1234,91,43363,0,43619,50681,62819,63278,59388,337,730,1065,42547,50697,48110,56602,71914,55941,62731,307,710,0,30441,28260,46542,62498,63951,66975,53482
peak_052,3-Aminopyridine,758,724,0,43357,0,54979,55552,70904,65353,62047,1789,304,775,56851,66447,67391,62230,71575,58340,64129,1346,1713,372,63597,32099,60864,65318,56525,65552,64200
peak_053,o-Cymene,2081,3207,577,1769305,0,2223023,2114541,2756115,2490252,2221045,0,0,0,161049,226086,231860,166802,209910,192635,199383,108,1476,0,29872,38913,41444,19583,34513,31590,40919
peak_054,"Benzene, 1-methyl-3-(1-methylethyl)-",233,0,249,0,0,0,0,85378,0,67994,13179,6976,8329,2301,0,1828,2115,2765,4256,5373,2748,77,1577,0,1851,258,0,4223,540,634
peak_055,"Pyrazine, 2,6-dimethyl-",0,9343,207,143744,0,159662,173436,130682,207582,208754,315,526,2731,163054,188200,186852,172167,126591,172921,203266,3173,1778,97,168983,166052,169389,169239,176474,214693,190370
