Peak_ID,Compound Method,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_051,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,184796,138923,229219,221748,271277,194403,258004,251137,372093,419065,419591,307009
peak_052,"Pyrazine, 2-ethyl-3,5-dimethyl-",169628,228549,229331,220275,166632,193243,179995,190632,150108,166709,193137,188644
peak_053,1-Octen-3-ol,34770,43079,49739,42964,22589,31296,26201,29850,17350,19082,25342,19071
peak_054,Furfural,1469787,1685341,1744778,1624465,651210,307909,1028592,1174442,484464,237362,833174,890536
peak_055,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,54295,64951,60479,52973,79608,88541,63420,73951,94506,108982,115564,84065
peak_056,2-Ethyl-1-hexanol,39323,51854,52536,45402,35887,46469,41519,41319,39339,41110,45102,37306
peak_057,"Ethanone, 1-(2-furanyl)-",77026,100303,98908,90113,83876,99528,84678,84365,86551,78221,88664,82288
peak_058,2-Mercapto-4-phenylthiazole,221732,212243,501944,440444,255461,288389,322063,277646,207103,268208,255356,216955
peak_059,Benzaldehyde,19640527,17232287,17737976,17250611,6676090,3463072,9415697,10955988,4123724,2025821,6034004,6516111
peak_060,p-Trimethylsilyloxyphenyl-(trimethylsilyloxy)trimethylsilylacrylate,210664,204085,310090,389270,256133,241174,315865,283516,263672,279149,340597,257638
peak_061,Linalool,164407,173253,162510,127907,53564,86263,66314,75719,44114,54400,58461,55832
peak_062,1-Octanol,59485,80718,67823,60911,30298,48435,33508,34926,23941,31566,34648,26022
peak_063,"Phosphonoacetic Acid, 3TMS derivative",14514,18339,23202,31011,15094,19738,20494,19292,14653,17226,19211,18322
peak_064,Benzonitrile,162237,158979,161511,143189,85202,107594,104745,120662,82519,72438,83374,77925
peak_065,Terpinen-4-ol,31784,29964,34837,30909,13833,21755,16090,20613,15148,14116,16703,16447
peak_066,"Butanoic acid, 4-hydroxy-",48876,51518,69628,30194,46172,62677,59501,52134,59125,56213,36907,33380
peak_067,Acetophenone,617693,653188,703645,568794,486916,552875,488697,516743,430470,400069,502118,463427
peak_068,"Silanediol, dimethyl-",4137148,4518670,6305563,9124374,4934292,4657126,6315221,5056819,3942655,5027821,5037060,3861392
peak_069,3-Furanmethanol,29781,58574,50726,29934,90442,100132,89022,69804,127344,103936,108862,106073
peak_070,"3,4-Dihydroxyphenylglycol, 4TMS derivative",23841,31543,17949,59006,27660,15649,42554,24741,14818,31677,28066,14694
peak_071,"Benzaldehyde, 3-hydroxy-",161362,178174,194653,185015,65158,53354,74781,77477,34991,19928,45690,51615
peak_072,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",333492,370793,363577,303354,252197,318446,279912,306774,252434,287475,337994,228812
peak_073,Terpineol,812562,967146,859852,801364,603958,743852,700255,678649,520680,674453,691739,632216
peak_074,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",400947,459746,419275,377447,603165,749974,567898,557826,634675,780629,776249,643780
peak_075,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",695110,1091039,868150,715079,47162,76760,81113,88525,28089,21080,35144,24192
peak_076,"Oxime-, methoxy-phenyl-_",1139,124,808,1877,609,496,718,1611,84,876,1079,212
peak_077,Methyl salicylate,65294,94852,85794,86549,55759,80717,60371,35497,49534,58703,55324,49474
peak_078,(-)-Myrtenol,18649,25030,22494,19653,34893,42691,25389,29920,38400,44212,47122,38106
peak_079,"Cyclotrisiloxane, hexamethyl-    1",48335,38794,86033,225514,59157,55846,85163,64123,39981,71175,80891,48666
peak_080,Benzyl alcohol,144906,255944,210146,162496,392809,435011,365994,334345,488834,432304,486144,406361
peak_081,"Cyclotetrasiloxane, octamethyl-     1",6961,11098,15369,70759,8306,10436,38444,19336,9981,7634,17484,4741
peak_082,Phenylethyl Alcohol,37165,53377,47548,49128,146511,200856,164449,159041,278705,330916,332150,275533
peak_083,Benzyl nitrile,91692,134777,141779,125848,107626,119538,94813,107674,99422,97310,110454,127666
peak_084,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",36490,64632,71823,79148,60177,54824,67769,70031,55233,62756,94009,51612
peak_085,"p-Mentha-1(7),8(10)-dien-9-ol",6931,12605,6826,12197,16296,15505,16537,16112,19313,18643,22045,18413
peak_086,Phenol,38492,51580,67845,52769,52238,65365,57246,47470,53394,51329,55181,53058
peak_087,p-Cresol,137410,177433,185060,162708,171824,192231,159451,173071,185380,201512,191789,203238
peak_088,3-Allyl-6-methoxyphenol,17632,25317,22484,19656,46482,62028,39604,37878,73364,91660,69160,55862
