Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
2-Butanone,JTB-E02-199-06.D,3.826,23433,JTB-E02-199-07.D,3.825,69071,JTB-E02-199-08.D,,,JTB-E02-199-11.D,3.826,2510705,JTB-E02-199-12.D,3.858,4432,JTB-E02-199-13.D,3.834,1768726,JTB-E02-199-14.D,3.817,2696591,JTB-E02-199-15.D,3.826,3089642,JTB-E02-199-16.D,3.818,3158300,JTB-E02-199-17.D,3.826,2771034,JTB-E02-200-06.D,3.826,4972,JTB-E02-200-07.D,3.834,8057,JTB-E02-200-08.D,3.834,9944,JTB-E02-200-11.D,3.834,2582177,JTB-E02-200-12.D,3.826,2301917,JTB-E02-200-13.D,3.834,2787504,JTB-E02-200-14.D,3.826,2968513,JTB-E02-200-15.D,3.825,3028690,JTB-E02-200-16.D,3.826,2934122,JTB-E02-200-17.D,3.825,3244318,JTB-E02-201-06.D,3.826,5669,JTB-E02-201-07.D,3.825,4688,JTB-E02-201-08.D,3.834,416,JTB-E02-201-11.D,3.834,2666361,JTB-E02-201-12.D,3.834,2288176,JTB-E02-201-13.D,3.834,2800167,JTB-E02-201-14.D,3.825,2879665,JTB-E02-201-15.D,3.826,2982120,JTB-E02-201-16.D,3.825,3421762,JTB-E02-201-17.D,3.809,2986428
"Butanal, 2-methyl-",JTB-E02-199-06.D,3.980,974,JTB-E02-199-07.D,3.955,292,JTB-E02-199-08.D,3.988,479,JTB-E02-199-11.D,3.972,2183354,JTB-E02-199-12.D,,,JTB-E02-199-13.D,3.988,2458840,JTB-E02-199-14.D,3.972,1566298,JTB-E02-199-15.D,3.980,1768847,JTB-E02-199-16.D,3.964,1481829,JTB-E02-199-17.D,3.972,1692874,JTB-E02-200-06.D,,,JTB-E02-200-07.D,3.980,2262,JTB-E02-200-08.D,3.988,2731,JTB-E02-200-11.D,3.980,3754551,JTB-E02-200-12.D,3.972,3600265,JTB-E02-200-13.D,3.980,3265738,JTB-E02-200-14.D,3.972,1233914,JTB-E02-200-15.D,3.972,43135,JTB-E02-200-16.D,3.972,1448802,JTB-E02-200-17.D,3.972,1025258,JTB-E02-201-06.D,3.972,548,JTB-E02-201-07.D,3.996,652,JTB-E02-201-08.D,3.964,296,JTB-E02-201-11.D,3.980,3565851,JTB-E02-201-12.D,3.988,3880850,JTB-E02-201-13.D,3.980,3563254,JTB-E02-201-14.D,3.972,1151915,JTB-E02-201-15.D,3.972,105584,JTB-E02-201-16.D,3.972,1372389,JTB-E02-201-17.D,3.964,739735
"Butanal, 3-methyl-",JTB-E02-199-06.D,4.012,5342,JTB-E02-199-07.D,4.012,2740,JTB-E02-199-08.D,4.045,1079,JTB-E02-199-11.D,4.021,7859794,JTB-E02-199-12.D,,,JTB-E02-199-13.D,4.037,8404684,JTB-E02-199-14.D,4.012,2600090,JTB-E02-199-15.D,4.029,2848369,JTB-E02-199-16.D,4.012,2446137,JTB-E02-199-17.D,4.021,2957384,JTB-E02-200-06.D,4.020,7752,JTB-E02-200-07.D,4.053,6367,JTB-E02-200-08.D,4.029,7285,JTB-E02-200-11.D,4.029,13286991,JTB-E02-200-12.D,4.021,13078522,JTB-E02-200-13.D,4.029,11843235,JTB-E02-200-14.D,4.020,813434,JTB-E02-200-15.D,4.020,427038,JTB-E02-200-16.D,4.021,1447446,JTB-E02-200-17.D,4.020,1787974,JTB-E02-201-06.D,4.045,8271,JTB-E02-201-07.D,4.028,5531,JTB-E02-201-08.D,4.020,2381,JTB-E02-201-11.D,4.029,12758112,JTB-E02-201-12.D,4.037,12976811,JTB-E02-201-13.D,4.029,12864993,JTB-E02-201-14.D,4.020,957147,JTB-E02-201-15.D,4.021,498518,JTB-E02-201-16.D,4.020,1274087,JTB-E02-201-17.D,4.012,1127345
Methylene chloride,JTB-E02-199-06.D,4.159,106126,JTB-E02-199-07.D,4.158,141448,JTB-E02-199-08.D,4.175,114,JTB-E02-199-11.D,4.159,39206,JTB-E02-199-12.D,4.183,100,JTB-E02-199-13.D,4.175,46182,JTB-E02-199-14.D,4.150,27974,JTB-E02-199-15.D,4.159,5225,JTB-E02-199-16.D,4.151,56251,JTB-E02-199-17.D,4.159,108047,JTB-E02-200-06.D,4.159,179627,JTB-E02-200-07.D,4.167,266193,JTB-E02-200-08.D,4.167,216658,JTB-E02-200-11.D,4.167,11453,JTB-E02-200-12.D,4.159,8544,JTB-E02-200-13.D,4.167,19524,JTB-E02-200-14.D,4.167,17362,JTB-E02-200-15.D,4.158,26254,JTB-E02-200-16.D,4.159,562046,JTB-E02-200-17.D,4.158,58074,JTB-E02-201-06.D,4.159,114842,JTB-E02-201-07.D,4.158,109713,JTB-E02-201-08.D,4.175,10021,JTB-E02-201-11.D,4.167,74315,JTB-E02-201-12.D,4.175,8696,JTB-E02-201-13.D,4.175,16178,JTB-E02-201-14.D,4.167,14351,JTB-E02-201-15.D,4.167,13884,JTB-E02-201-16.D,4.158,61721,JTB-E02-201-17.D,4.142,14034
Ethanol,JTB-E02-199-06.D,4.248,23336,JTB-E02-199-07.D,4.248,27828,JTB-E02-199-08.D,4.240,1633,JTB-E02-199-11.D,4.248,17927295,JTB-E02-199-12.D,,,JTB-E02-199-13.D,4.256,12516915,JTB-E02-199-14.D,4.240,18793497,JTB-E02-199-15.D,4.248,22597708,JTB-E02-199-16.D,4.240,19372239,JTB-E02-199-17.D,4.248,21868818,JTB-E02-200-06.D,4.240,54139,JTB-E02-200-07.D,4.256,67036,JTB-E02-200-08.D,4.248,59874,JTB-E02-200-11.D,4.256,19968871,JTB-E02-200-12.D,4.248,20818785,JTB-E02-200-13.D,4.256,20109736,JTB-E02-200-14.D,4.248,21764747,JTB-E02-200-15.D,4.248,22090296,JTB-E02-200-16.D,4.248,22037736,JTB-E02-200-17.D,4.248,21540849,JTB-E02-201-06.D,4.248,51003,JTB-E02-201-07.D,4.248,43316,JTB-E02-201-08.D,4.248,4783,JTB-E02-201-11.D,4.248,18685345,JTB-E02-201-12.D,4.256,13194824,JTB-E02-201-13.D,4.256,19708711,JTB-E02-201-14.D,4.248,20769219,JTB-E02-201-15.D,4.248,22141884,JTB-E02-201-16.D,4.248,22168131,JTB-E02-201-17.D,4.232,15987918
"Furan, 2-butyltetrahydro-",JTB-E02-199-06.D,4.646,116,JTB-E02-199-07.D,4.670,2632,JTB-E02-199-08.D,4.638,123,JTB-E02-199-11.D,4.654,749347,JTB-E02-199-12.D,4.646,947,JTB-E02-199-13.D,4.662,779645,JTB-E02-199-14.D,4.646,866637,JTB-E02-199-15.D,4.654,1161168,JTB-E02-199-16.D,4.646,956130,JTB-E02-199-17.D,4.654,1051559,JTB-E02-200-06.D,4.630,172,JTB-E02-200-07.D,4.654,618,JTB-E02-200-08.D,4.670,122,JTB-E02-200-11.D,4.662,545425,JTB-E02-200-12.D,4.654,626851,JTB-E02-200-13.D,4.662,552347,JTB-E02-200-14.D,4.654,545995,JTB-E02-200-15.D,4.654,699319,JTB-E02-200-16.D,4.654,638728,JTB-E02-200-17.D,4.654,655116,JTB-E02-201-06.D,4.662,2079,JTB-E02-201-07.D,4.662,1136,JTB-E02-201-08.D,4.670,1200,JTB-E02-201-11.D,4.662,354166,JTB-E02-201-12.D,4.662,257286,JTB-E02-201-13.D,4.662,380073,JTB-E02-201-14.D,4.646,338075,JTB-E02-201-15.D,4.646,433877,JTB-E02-201-16.D,4.646,484177,JTB-E02-201-17.D,4.638,344370
"Cyclotetrasiloxane, octamethyl-",JTB-E02-199-06.D,4.979,8242775,JTB-E02-199-07.D,4.979,5958003,JTB-E02-199-08.D,4.971,41334,JTB-E02-199-11.D,4.979,2879022,JTB-E02-199-12.D,4.971,20737,JTB-E02-199-13.D,4.995,2145185,JTB-E02-199-14.D,4.979,1839097,JTB-E02-199-15.D,4.979,969317,JTB-E02-199-16.D,4.971,1810296,JTB-E02-199-17.D,4.979,1882382,JTB-E02-200-06.D,4.979,4702060,JTB-E02-200-07.D,4.995,3815935,JTB-E02-200-08.D,4.987,1090729,JTB-E02-200-11.D,4.987,1965965,JTB-E02-200-12.D,4.979,1760177,JTB-E02-200-13.D,4.995,3575746,JTB-E02-200-14.D,4.979,2945600,JTB-E02-200-15.D,4.979,2452600,JTB-E02-200-16.D,4.979,3284957,JTB-E02-200-17.D,4.979,2766094,JTB-E02-201-06.D,4.979,3346932,JTB-E02-201-07.D,4.979,2262614,JTB-E02-201-08.D,4.995,792102,JTB-E02-201-11.D,4.987,2987027,JTB-E02-201-12.D,4.995,3312859,JTB-E02-201-13.D,4.995,3294699,JTB-E02-201-14.D,4.979,2935320,JTB-E02-201-15.D,4.979,3387027,JTB-E02-201-16.D,4.979,3655437,JTB-E02-201-17.D,4.971,2361540
"Carbonic acid, dimethyl ester",JTB-E02-199-06.D,,,JTB-E02-199-07.D,5.052,430,JTB-E02-199-08.D,5.036,500,JTB-E02-199-11.D,5.052,266684,JTB-E02-199-12.D,5.036,3270,JTB-E02-199-13.D,5.068,234972,JTB-E02-199-14.D,5.052,306160,JTB-E02-199-15.D,5.052,382875,JTB-E02-199-16.D,5.044,366460,JTB-E02-199-17.D,5.052,329342,JTB-E02-200-06.D,5.044,989,JTB-E02-200-07.D,5.060,283,JTB-E02-200-08.D,5.036,1637,JTB-E02-200-11.D,5.060,104779,JTB-E02-200-12.D,5.052,290598,JTB-E02-200-13.D,5.060,104478,JTB-E02-200-14.D,5.052,298156,JTB-E02-200-15.D,5.052,331356,JTB-E02-200-16.D,5.052,283686,JTB-E02-200-17.D,5.052,292373,JTB-E02-201-06.D,,,JTB-E02-201-07.D,,,JTB-E02-201-08.D,5.020,982,JTB-E02-201-11.D,5.060,204613,JTB-E02-201-12.D,5.068,180828,JTB-E02-201-13.D,5.068,200796,JTB-E02-201-14.D,5.052,240988,JTB-E02-201-15.D,5.052,269820,JTB-E02-201-16.D,5.052,295619,JTB-E02-201-17.D,5.044,263322
"2-Pentene, 2,4-dimethyl-",JTB-E02-199-06.D,5.206,200,JTB-E02-199-07.D,5.206,680,JTB-E02-199-08.D,5.166,328,JTB-E02-199-11.D,5.182,88357,JTB-E02-199-12.D,,,JTB-E02-199-13.D,5.190,61690,JTB-E02-199-14.D,5.182,112546,JTB-E02-199-15.D,5.174,146739,JTB-E02-199-16.D,5.174,110623,JTB-E02-199-17.D,5.182,129864,JTB-E02-200-06.D,5.198,493,JTB-E02-200-07.D,5.182,170,JTB-E02-200-08.D,5.158,539,JTB-E02-200-11.D,5.190,73013,JTB-E02-200-12.D,5.182,81654,JTB-E02-200-13.D,5.182,76136,JTB-E02-200-14.D,5.182,73124,JTB-E02-200-15.D,5.182,90145,JTB-E02-200-16.D,5.174,85380,JTB-E02-200-17.D,5.182,88238,JTB-E02-201-06.D,5.150,147,JTB-E02-201-07.D,5.190,219,JTB-E02-201-08.D,5.198,500,JTB-E02-201-11.D,5.190,49325,JTB-E02-201-12.D,5.190,49832,JTB-E02-201-13.D,5.190,49657,JTB-E02-201-14.D,5.182,43185,JTB-E02-201-15.D,5.174,58348,JTB-E02-201-16.D,5.174,64652,JTB-E02-201-17.D,5.166,44570
Methyl Isobutyl Ketone,JTB-E02-199-06.D,5.345,2201,JTB-E02-199-07.D,5.377,1116,JTB-E02-199-08.D,5.345,549,JTB-E02-199-11.D,5.353,57668,JTB-E02-199-12.D,5.336,122456,JTB-E02-199-13.D,5.369,72262,JTB-E02-199-14.D,5.353,60309,JTB-E02-199-15.D,5.353,92141,JTB-E02-199-16.D,5.345,65504,JTB-E02-199-17.D,5.353,77895,JTB-E02-200-06.D,5.328,2115,JTB-E02-200-07.D,,,JTB-E02-200-08.D,5.353,2400,JTB-E02-200-11.D,5.361,60372,JTB-E02-200-12.D,5.353,66068,JTB-E02-200-13.D,5.369,45145,JTB-E02-200-14.D,5.353,49948,JTB-E02-200-15.D,5.353,59492,JTB-E02-200-16.D,5.353,62433,JTB-E02-200-17.D,5.353,52220,JTB-E02-201-06.D,5.361,1191,JTB-E02-201-07.D,5.353,187,JTB-E02-201-08.D,5.353,387,JTB-E02-201-11.D,5.361,40581,JTB-E02-201-12.D,5.369,41335,JTB-E02-201-13.D,5.361,33034,JTB-E02-201-14.D,5.353,35865,JTB-E02-201-15.D,5.353,38968,JTB-E02-201-16.D,5.353,48916,JTB-E02-201-17.D,5.344,43894
