Peak_ID,Compound Method,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_032,"1-Butanol, 3-methyl-, acetate",71440,0,0,0,99897,112956,96389,0,0,29248,0,31166,23739,3830,0,9786,0,0,0,0,13384
peak_033,"Butanenitrile, 3-methyl-",42,50,844,595,1830,679,1197,1072,1083,1087,643,204,363,1208,1886,667,1947,253,852,743,242
peak_034,"2-Pentene, 4,4-dimethyl-",30102,150,30677,39870,47166,47009,45456,30442,35796,17022,29569,38380,36682,34109,27185,29542,29747,27794,29222,27842,30473
peak_035,o-Xylene,38148,577,0,35423,47449,56233,45196,5671,19749,16723,13730,29081,38942,32093,26218,6510,8164,15207,10994,9784,11576
peak_036,1-Butanol,236073,0,231470,363724,545231,432386,428977,260855,253447,310900,661869,724102,536918,561466,256636,296841,302245,794917,907771,777487,663654
peak_037,"Cyclopentasiloxane, decamethyl-",295769,0,230549,194963,199647,203801,384088,419150,630966,444294,286937,234005,319362,288777,991794,542467,493704,288496,329490,365102,234579
peak_038,"2-Butenoic acid, 3-methyl-, methyl ester",104706,241,43260,134734,170414,166098,168799,52872,46253,70448,54562,78984,71631,70891,27685,29964,30289,27793,34443,35152,33910
peak_039,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",67296,0,96762,106478,114438,107263,105017,30870,35761,32365,25996,33233,24978,34838,15464,18797,24280,14486,16474,21911,18490
peak_040,2-Heptanone,26848,0,31517,29386,39245,41588,44046,14481,14897,20163,33702,64958,42272,51875,12409,7440,10583,40137,59770,47096,51355
peak_041,"2-Butenal, 3-methyl-",78002,5791,0,104947,159896,104527,125044,12003,15724,15065,12198,12627,17110,21863,3217,2644,5900,6728,4524,6814,6677
peak_042,"1-Butanol, 3-methyl-",5382474,0,4673163,7531782,9892330,9034880,9183381,5433724,6281174,5145772,11275655,11316347,11112356,10988136,5217548,5640221,5155465,11847598,11684296,13733921,11787905
peak_043,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",1075541,0,1368654,1407237,1619083,1488385,1324457,251512,312984,288702,224687,290073,243596,271473,51773,116387,76247,88192,90212,114290,95421
peak_044,Thiazole,84415,0,108703,98058,115228,117867,116693,110446,113385,121240,103262,127136,115748,113508,110008,111447,122033,105728,104751,129102,98816
peak_045,1-Pentanol,36424,0,40665,36483,51152,53178,49283,38525,36703,47832,45134,55828,51684,50518,38066,40169,41754,36918,53968,53472,48912
peak_046,3-Aminopyridine,33740,0,52839,44015,54122,53160,53670,53656,55562,63010,43159,52590,47555,49665,47738,51043,57787,45698,48628,52200,52482
peak_047,o-Cymene,1407289,0,2193766,2059490,2382483,2062914,1887910,157509,220237,221072,143614,186305,163318,176035,29332,38649,39385,19015,27863,30587,29969
peak_048,Methyl 4-benzoylbutyrate,80928,0,192022,80343,61564,83253,104895,70761,72799,83041,45322,62890,76768,52028,118373,68058,67406,48765,50222,56387,43841
peak_049,"Pyrazine, 2,6-dimethyl-",119061,0,149445,158945,174586,167079,190031,164123,178326,178767,156841,142903,157468,139868,167552,171554,162464,115047,137821,157003,136676
peak_050,1-Hexanol,2600120,0,3212968,3594079,4063653,3721689,3611004,2897110,3304499,3077319,2941442,3587186,3163837,3152157,2658348,2822207,2702299,2772364,2838610,3529628,2758426
peak_051,Dimethyl trisulfide,196000,254818,57214,372361,565282,123015,298841,26325,9859,25551,31518,20511,68597,118429,3820,2904,5747,6273,5989,35269,13777
peak_052,"3-Hexen-1-ol, (E)-",90032,0,127001,153485,171792,182387,158410,123696,141450,128130,196046,232278,186478,174749,115551,130863,126817,282746,306730,300687,229362
peak_053,2-Nonanone,5331,0,11533,9215,15790,13000,14681,563,1929,2095,19167,28794,27086,30826,366,220,233,15156,21355,21888,25966
peak_054,"Pyrazine, 2-ethyl-6-methyl-",20441,0,27101,20290,35593,21689,37132,23410,23441,32102,20226,28565,26751,27471,21177,25481,23399,18920,18980,27691,25419
peak_055,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",38960,0,67600,56173,71738,66890,69004,56854,67789,44477,50915,61267,29008,61020,56734,64122,64200,55136,53203,59904,56620
peak_056,"2-Hexen-1-ol, (E)-",458535,543044,589732,685241,752711,754980,704166,551750,663974,610997,583747,725316,630389,628396,553234,557865,551559,571580,579953,718142,556016
peak_057,"Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-",3897,5605,6327,174951,247313,262630,254317,1412,939,495,15099,54525,68897,78487,1135,365,545,6185,14755,35894,37726
peak_058,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,124298,126316,146684,184796,138923,229219,221748,142104,158576,147459,271277,194403,258004,251137,136263,140819,135380,372093,419065,419591,307009
peak_059,"Pyrazine, 2-ethyl-3,5-dimethyl-",158942,157268,0,169628,228549,229331,220275,0,161291,0,166632,193243,179995,190632,0,0,0,150108,166709,193137,188644
peak_060,1-Octen-3-ol,23113,11446,32908,34770,43079,49739,42964,15870,16632,19640,22589,31296,26201,29850,14358,17517,13513,17350,19082,25342,19071
peak_061,Furfural,1411725,1280151,1647070,1469787,1685341,1744778,1624465,1876654,2311001,2092587,651210,307909,1028592,1174442,2387678,2157354,2141248,484464,237362,833174,890536
peak_062,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,30942,10253,46776,54295,64951,60479,52973,37669,39656,42555,79608,88541,63420,73951,33918,45915,41554,94506,108982,115564,84065
peak_063,Acetic acid?,406,1587,177,370,1817,156,210,9063,4480,0,1340,317,778,8652,0,7873,39990,7144,12866,4321,0
peak_064,2-Ethyl-1-hexanol,28962,37073,46887,39323,51854,52536,45402,30984,39686,34349,35887,46469,41519,41319,45074,26469,26744,39339,41110,45102,37306
peak_065,"Ethanone, 1-(2-furanyl)-",50060,66350,48266,77026,100303,98908,90113,76992,61197,97161,83876,99528,84678,84365,88744,85455,78246,86551,78221,88664,82288
peak_066,Dill ether,78737,69197,104807,111716,138817,132406,126262,27010,37521,30047,31432,44694,39697,44103,17533,19427,20233,11149,31420,30485,25921
peak_067,Benzaldehyde,18752198,20165301,24229413,19640527,17232287,17737976,17250611,23386625,24107861,24222892,6676090,3463072,9415697,10955988,22377730,21032568,21960307,4123724,2025821,6034004,6516111
peak_068,p-Trimethylsilyloxyphenyl-(trimethylsilyloxy)trimethylsilylacrylate,292482,262779,438565,210664,204085,310090,389270,330390,309936,369881,256133,241174,315865,283516,699380,322949,307458,263672,279149,340597,257638
peak_069,Linalool,106317,150315,134828,164407,173253,162510,127907,70816,71253,58401,53564,86263,66314,75719,39086,47569,37572,44114,54400,58461,55832
peak_070,1-Octanol,31002,30594,39715,59485,80718,67823,60911,16461,17671,20170,30298,48435,33508,34926,12968,11737,9206,23941,31566,34648,26022
peak_071,"Phosphonoacetic Acid, 3TMS derivative",23061,25605,25526,14514,18339,23202,31011,19354,19588,24197,15094,19738,20494,19292,34336,23386,24592,14653,17226,19211,18322
peak_072,Benzonitrile,109665,114756,160842,162237,158979,161511,143189,117152,146954,132257,85202,107594,104745,120662,109717,94361,101483,82519,72438,83374,77925
peak_073,Terpinen-4-ol,22211,26000,29249,31784,29964,34837,30909,21025,21255,7832,13833,21755,16090,20613,12636,11162,11399,15148,14116,16703,16447
peak_074,"Butanoic acid, 4-hydroxy-",69768,44044,67313,48876,51518,69628,30194,50630,34623,66787,46172,62677,59501,52134,77797,59257,46888,59125,56213,36907,33380
peak_075,Acetophenone,487517,485061,626841,617693,653188,703645,568794,536872,597779,574731,486916,552875,488697,516743,514866,452886,501749,430470,400069,502118,463427
peak_076,"Silanediol, dimethyl-",8565820,5804987,11689180,4137148,4518670,6305563,9124374,5610061,4425594,8553932,4934292,4657126,6315221,5056819,9391850,5865136,6512021,3942655,5027821,5037060,3861392
peak_077,3-Furanmethanol,10513,13611,13802,29781,58574,50726,29934,11648,16041,14832,90442,100132,89022,69804,15733,12572,11097,127344,103936,108862,106073
peak_078,"3,4-Dihydroxyphenylglycol, 4TMS derivative",48602,36940,16282,23841,31543,17949,59006,30361,16302,52278,27660,15649,42554,24741,27344,36940,34235,14818,31677,28066,14694
peak_079,"Benzaldehyde, 3-hydroxy-",183853,172372,204184,161362,178174,194653,185015,132233,166122,186532,65158,53354,74781,77477,123242,118758,130395,34991,19928,45690,51615
peak_080,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",224339,300794,285936,333492,370793,363577,303354,296946,334681,273487,252197,318446,279912,306774,284401,286516,230842,252434,287475,337994,228812
peak_081,Terpineol,517294,724171,677692,812562,967146,859852,801364,600332,650111,599564,603958,743852,700255,678649,513413,478981,488455,520680,674453,691739,632216
peak_082,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",56104,69804,75102,400947,459746,419275,377447,55504,58648,60830,603165,749974,567898,557826,47299,51846,45362,634675,780629,776249,643780
peak_083,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",555320,648684,916474,695110,1091039,868150,715079,33638,72276,44939,47162,76760,81113,88525,34073,30031,26387,28089,21080,35144,24192
peak_084,"Oxime-, methoxy-phenyl-_",3058,1176,2310,1139,124,808,1877,0,809,2615,609,496,718,1611,5122,553,1431,84,876,1079,212
peak_085,Methyl salicylate,46368,44271,56124,65294,94852,85794,86549,14676,28751,33058,55759,80717,60371,35497,23000,16288,26418,49534,58703,55324,49474
peak_086,(-)-Myrtenol,2791,1241,1879,18649,25030,22494,19653,1835,1021,1717,34893,42691,25389,29920,2631,1455,1730,38400,44212,47122,38106
peak_087,"Cyclotrisiloxane, hexamethyl-    1",57903,157071,188400,48335,38794,86033,225514,55746,64012,131187,59157,55846,85163,64123,542197,77435,77060,39981,71175,80891,48666
peak_088,Thymol,16363,13327,20059,15671,23506,29121,23855,19911,25351,18841,24115,25839,28604,22172,27579,19714,13148,21426,21945,27336,26027
peak_089,Benzyl alcohol,26714,39620,35005,144906,255944,210146,162496,45522,49368,43707,392809,435011,365994,334345,61532,43390,49354,488834,432304,486144,406361
peak_090,"Cyclotetrasiloxane, octamethyl-     1",27447,28213,1358,6961,11098,15369,70759,19210,5071,42412,8306,10436,38444,19336,91828,9140,32902,9981,7634,17484,4741
peak_091,Phenylethyl Alcohol,17885,19691,24567,37165,53377,47548,49128,21338,31047,29561,146511,200856,164449,159041,36413,35385,26544,278705,330916,332150,275533
peak_092,Benzyl nitrile,86279,100288,103220,91692,134777,141779,125848,83409,104383,94051,107626,119538,94813,107674,94399,77031,89985,99422,97310,110454,127666
peak_093,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",101384,50583,66106,36490,64632,71823,79148,75665,62727,85154,60177,54824,67769,70031,72507,88590,88538,55233,62756,94009,51612
peak_094,"p-Mentha-1(7),8(10)-dien-9-ol",1082,3291,2131,9165,12748,11452,8497,1679,3482,2838,15197,16306,16720,16686,2421,3426,3038,14856,18459,19455,15785
peak_095,Phenol,42231,49356,60057,38492,51580,67845,52769,48272,59135,54162,52238,65365,57246,47470,62049,47605,50245,53394,51329,55181,53058
peak_096,p-Cresol,97556,127433,137012,137410,177433,185060,162708,150411,159821,165873,171824,192231,159451,173071,180513,131459,149745,185380,201512,191789,203238
peak_097,3-Allyl-6-methoxyphenol,7204,7490,7015,17632,25317,22484,19656,5779,9572,5385,46482,62028,39604,37878,9276,5480,6141,73364,91660,69160,55862
peak_098,n-Hexane,15950,63114,79624,113116,113602,194841,197953,12613,41057,40841,11252,29827,48403,81269,299077,14916,15224,10331,8355,10816,9124
peak_099,"Cyclotrisiloxane, hexamethyl-    2",16818658,17398174,14306074,10994679,9560727,11047096,13039883,13671179,12730427,13513071,10135222,9346699,11459213,8639134,16341657,9307810,8076002,7111544,8915660,8209896,6574561
peak_100,Acetoin,35441,36569,37639,43465,48465,55822,49182,39134,40266,41034,84448,109593,69810,68367,40655,38446,38193,104863,119522,94437,82898
peak_101,"3-Hexen-1-ol, (E)-    1",3685705,4261079,3961594,4623661,5787763,5505557,5033003,3604851,4103229,3775680,4271877,5174246,4545981,4694071,3230531,3409104,3351888,3996102,4479314,4991571,4349559
