Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
"Propanoic acid, hexyl ester",14.759,2634,14.759,3907,14.759,296577,14.759,26550,14.759,14069,14.759,9406,14.759,55509,14.759,4279,14.759,5150,14.759,202144,14.759,44865,14.759,38781,14.759,8039,14.759,65723
"2-Hexenoic acid, ethyl ester",14.938,482,14.938,8853,14.938,391816,14.938,660997,14.938,154986,14.938,15378,14.938,66387,14.938,2524,14.938,5862,14.938,5552679,14.938,1691919,14.938,3027260,14.938,41963,14.938,2987800
"Propionic acid, 3-hydroxy-2-isopropylidene-",15.019,1177,15.019,10673,15.019,237724,15.019,121824,15.019,84986,15.019,37161,15.019,105884,15.019,5477,15.019,13823,15.019,933747,15.019,335236,15.019,554546,15.019,83796,15.019,658876
"Hexanoic acid, 2-methylpropyl ester",15.190,494,15.190,3361,15.190,2652404,15.190,147032,15.190,336981,15.190,28546,15.190,475467,15.190,7388,15.190,6691,15.190,1230199,15.190,443355,15.190,334299,15.190,47543,15.190,710272
1-Hexanol,15.279,5557,15.279,18617,15.279,11669277,15.279,1410253,15.279,319727,15.279,65254,15.279,1452997,15.279,23741,15.279,23817,15.279,8165505,15.279,3036219,15.279,2009660,15.279,104369,15.279,3573275
"Propanoic acid, 2-methyl-, hexyl ester",15.783,1101,15.783,2319,15.783,28452,15.783,6122,15.783,5991,15.783,5139,15.783,15219,15.783,2134,15.783,3108,15.783,17874,15.783,7852,15.783,7907,15.783,5929,15.783,10994
"Acetic acid, heptyl ester",15.848,8479,15.848,11747,15.848,75741,15.848,30886,15.848,27853,15.848,16018,15.848,31503,15.848,10643,15.848,12751,15.848,121194,15.848,62188,15.848,46225,15.848,17000,15.848,76201
CH3C(O)OCH(CH3)C(O)CH3,16.051,8040,16.051,12027,16.051,378354,16.051,87722,16.051,178695,16.051,18277,16.051,133243,16.051,10984,16.051,13554,16.051,254751,16.051,48659,16.051,103406,16.051,23159,16.051,226013
"3-Hexen-1-ol, (E)-",16.246,1689,16.246,11689,16.246,315431,16.246,310086,16.246,100455,16.246,33937,16.246,176377,16.246,4414,16.246,21560,16.246,407343,16.246,938276,16.246,626369,16.246,270962,16.246,2541653
"Octanoic acid, methyl ester",16.352,2082,16.351,13969,16.351,619898,16.351,246061,16.351,233060,16.351,107999,16.351,278360,16.351,4707,16.351,33175,16.351,257559,16.351,209052,16.351,94815,16.351,51274,16.351,163828
"Butanoic acid, 1-methylhexyl ester",16.676,2664,16.676,3190,16.676,153687,16.676,10740,16.676,11192,16.676,12217,16.676,61558,16.676,4516,16.676,3595,16.676,72705,16.676,13785,16.676,12403,16.676,7129,16.676,30952
"Hexanoic acid, 3-pentyl ester",16.766,606,16.766,1701,16.766,92054,16.766,24907,16.766,17094,16.766,17559,16.766,60236,16.766,1621,16.766,2493,16.766,70315,16.766,30719,16.766,19497,16.766,8508,16.766,39546
Methyl 2-(methylthio)acetate,16.863,365,16.863,817,16.863,38831,16.863,4948,16.863,12583,16.863,4725,16.863,23770,16.863,1022,16.863,2633,16.863,39687,16.863,6315,16.863,20025,16.863,17798,16.863,52290
Cyclohexanol,16.928,8722,16.928,9587,16.928,78298,16.928,44192,16.928,26514,16.928,11512,16.928,48257,16.928,8194,16.928,8149,16.928,61966,16.928,254243,16.928,95434,16.928,16529,16.928,329897
"Hexanoic acid, butyl ester",17.107,529,17.107,2263,17.107,332472,17.107,51321,17.107,18799,17.107,13459,17.107,92897,17.107,1726,17.107,2857,17.107,138856,17.107,46109,17.107,23261,17.107,5040,17.107,37105
"Butanoic acid, hexyl ester",17.188,1453,17.188,6118,17.188,4488016,17.188,142028,17.188,64691,17.188,35717,17.188,940815,17.188,9861,17.188,10613,17.188,1316942,17.188,159803,17.188,89754,17.188,20831,17.188,284846
"Butanoic acid, 2-methyl-, hexyl ester",17.546,559,17.546,3178,17.545,242616,17.545,49776,17.545,21955,17.545,8464,17.545,54045,17.546,1648,17.546,3778,17.545,782109,17.545,100552,17.545,120199,17.546,10234,17.545,197946
n-Octanoic acid isopropyl ester,17.692,8616,17.692,10476,17.692,59996,17.692,49764,17.692,28523,17.692,19507,17.692,36019,17.692,14406,17.692,13513,17.692,59506,17.692,52260,17.692,41791,17.692,19745,17.692,60693
"Octanoic acid, ethyl ester",17.781,1747,17.781,3200,17.781,192219,17.781,1514281,17.781,66682,17.781,16734,17.781,59135,17.781,4773,17.781,4717,17.781,1352703,17.781,2465702,17.781,363333,17.781,20031,17.781,814158
"Butanoic acid, 3-methyl-, hexyl ester",18.098,1670,18.098,3289,18.098,459404,18.098,31705,18.098,31875,18.098,14165,18.098,263957,18.098,3701,18.098,4412,18.098,365909,18.098,46479,18.098,47170,18.098,10051,18.098,184944
Isopentyl hexanoate,18.537,2921,18.537,5309,18.536,748775,18.537,161907,18.536,95595,18.536,69996,18.536,301044,18.537,7406,18.537,8455,18.536,904967,18.536,528456,18.536,283295,18.537,30234,18.536,609345
"Hydrazine, 1,2-dimethyl-",18.610,11156,18.610,11799,18.610,476819,18.610,526754,18.609,41322,18.610,25099,18.610,61186,18.610,26394,18.610,14227,18.610,2206078,18.610,1196157,18.610,1426721,18.610,103538,18.609,1541433
"Acetic acid, octyl ester",19.040,21395,19.040,25329,19.040,1510266,19.040,400973,19.040,390769,19.040,71644,19.040,568659,19.040,40418,19.040,26724,19.040,2026917,19.040,401764,19.040,371429,19.040,75704,19.040,979526
"Butanoic acid, 3-hydroxy-, methyl ester",19.219,14316,19.219,20572,19.219,87158,19.219,61791,19.219,69034,19.219,30718,19.219,43591,19.219,22354,19.219,30209,19.219,254747,19.219,116753,19.219,182146,19.219,55418,19.219,153459
"1-Hexanol, 2-ethyl-",19.568,44527,19.568,32319,19.568,71360,19.568,61412,19.568,39396,19.568,30339,19.568,35430,19.568,49772,19.568,24527,19.568,132535,19.568,85098,19.568,74235,19.568,31810,19.568,79701
"2,6-Dihydroxyacetophenone, 2TMS derivative",19.828,63405,19.828,45268,19.828,52574,19.828,44787,19.828,40114,19.828,37511,19.828,40091,19.828,75837,19.828,35860,19.828,66814,19.828,48349,19.828,47887,19.828,34401,19.828,52834
2-Mercapto-4-phenylthiazole,20.064,985019,20.064,505485,20.064,462659,20.064,388937,20.064,343730,20.064,291240,20.064,303509,20.064,856691,20.064,288415,20.064,536385,20.064,351788,20.064,376014,20.064,257535,20.064,364347
Ethylene glycol di-n-butyrate,20.218,1677,20.218,2330,20.218,289237,20.218,12316,20.218,24712,20.218,4242,20.218,59272,20.218,3602,20.218,3581,20.218,39678,20.218,7222,20.218,8701,20.218,3492,20.218,18295
Benzaldehyde,20.397,55493,20.397,41325,20.397,65987,20.397,94214,20.397,60151,20.397,38600,20.397,48088,20.397,71844,20.397,38890,20.397,176336,20.397,522834,20.397,326219,20.397,81433,20.397,222438
2-[(Trimethylsilyl)oxy]-2-{4-[(trimethylsilyl)oxy]phenyl}ethanamine,20.632,610502,20.632,285858,20.632,274185,20.632,232868,20.632,201288,20.632,179166,20.632,189276,20.632,547668,20.632,175763,20.632,348746,20.632,237481,20.632,236743,20.632,167558,20.632,244997
"5H-Naphtho[2,3-c]carbazole",20.795,178806,20.795,88636,20.795,78028,20.795,70703,20.795,58879,20.795,50008,20.795,53378,20.795,159621,20.795,53707,20.795,96405,20.795,62444,20.795,62584,20.795,48093,20.795,66071
"5-Decen-1-ol, acetate, (E)-",20.868,15278,20.868,13896,20.868,132086,20.868,24584,20.868,29465,20.868,16217,20.868,50187,20.868,12206,20.868,10957,20.868,86602,20.868,30370,20.868,35548,20.868,14905,20.868,53893
"2-Butanol, 3-methyl-, (S)-",21.055,8388,21.055,11724,21.055,203256,21.055,62753,21.055,50626,21.055,15331,21.055,60133,21.055,11625,21.055,10575,21.055,181057,21.055,354924,21.055,265737,21.055,27040,21.055,123303
Linalool,21.274,4714,21.274,26508,21.274,406574,21.274,288101,21.274,66314,21.274,97961,21.274,152786,21.274,12118,21.274,15076,21.274,520269,21.274,327721,21.274,249089,21.274,22001,21.274,220333
"Formic acid, octyl ester",21.632,4373,21.632,4615,21.631,206524,21.631,33698,21.631,34683,21.631,7852,21.631,64239,21.631,6040,21.631,4706,21.631,290141,21.631,64529,21.631,68612,21.631,7725,21.631,165967
"Phosphonoacetic Acid, 3TMS derivative",21.965,84968,21.965,43948,21.964,41615,21.964,30575,21.964,28214,21.964,25103,21.964,27721,21.965,77765,21.965,24889,21.964,42673,21.964,31041,21.964,36036,21.964,21463,21.964,33329
