Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
"Propanoic acid, ethyl ester",4.792,5954,4.792,359248,4.792,6259930,4.792,6002222,4.792,2404455,4.792,239443,4.792,1040011,4.792,11865,4.792,353362,4.792,23688901,4.792,18274859,4.792,21823020,4.792,500190,4.792,20698336
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-",26.392,3298,26.367,16963,26.367,69692,26.367,59767,26.367,132845,26.375,36589,26.367,346146,26.375,22663,26.367,39011,26.375,71744,26.367,61367,26.375,69333,26.367,49365,26.375,208315
"Acetic acid, phenylmethyl ester",26.440,2967,26.440,17564,26.440,128203,26.440,188737,26.448,69880,26.440,40508,26.440,66055,26.449,5047,26.448,24557,26.440,125044,26.440,270208,26.440,145571,26.440,29394,26.440,179688
"Propanoic acid, 1-methylethyl ester",4.857,5624,4.857,314634,4.857,4497507,4.857,1964476,4.857,1550881,4.857,705568,4.857,1441056,4.857,11405,4.857,573479,4.857,12161355,4.857,6038324,4.857,9315422,4.857,1094821,4.857,7740106
Naphthalene,26.700,16327,26.684,40536,26.684,59671,26.684,52813,26.692,39389,26.692,27839,26.692,35075,26.692,27057,26.700,16937,26.700,49825,26.700,42688,26.692,41140,26.692,21157,26.700,35496
"Propanoic acid, 2-methyl-, ethyl ester",4.922,25528,4.922,384390,4.922,4278726,4.922,11343995,4.922,4019984,4.922,632362,4.922,1356738,4.922,85946,4.922,566443,4.922,31122221,4.922,25653986,4.922,24852365,4.922,1638092,4.922,23733700
"Propanoic acid, 2-methyl-, 1,2,3-propanetriyl ester",,,27.123,1236,27.147,65463,27.155,4281,27.139,991,27.163,880,27.147,13030,27.139,266,27.139,298,27.155,3241,,,,,27.123,301,27.147,1377
n-Propyl acetate,5.052,24443,5.052,502862,5.052,9327890,5.052,16294264,5.052,12708573,5.052,917665,5.052,3161881,5.052,90884,5.052,692755,5.052,24198349,5.052,25760386,5.052,30021425,5.052,2575480,5.052,20867425
2-Pentanone,5.101,25831,5.101,361987,5.101,13670337,5.101,13200916,5.101,10943461,5.101,1025913,5.101,3977299,5.101,96986,5.101,544847,5.101,27222020,5.101,22442697,5.101,26803384,5.101,2883443,5.101,18738566
"Oxime-, methoxy-phenyl-_",27.464,6070075,27.472,2539225,27.472,1410207,27.472,921204,27.472,897241,27.472,699071,27.472,831861,27.464,5547721,27.472,1233681,27.464,902766,27.472,763809,27.472,936503,27.472,627561,27.472,1028007
