,,,,JTB-E02-192-12,JTB-E02-192-06,,JTB-E02-192-13,,JTB-E02-192-14,,JTB-E02-192-15,,JTB-E02-192-16,,JTB-E02-192-17,,JTB-E02-192-18
,,,,2H_CTRL01,BAC-01 BLANK,,2H_CTRL02,,2H_CTRL03,,2H_REP01,,2H_REP02,,2H_REP03,,2H_REP04
Header=,Qual,Library/ID,RT,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,,,
15=,64,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",4.0177,225427829,5.649,4145450,4.022,178839169,4.374,191273680,3.971,124081694,3.974,95055174,,,
16=,38,Formic acid (CAS) $$ Bilorin $$ Myrmicyl $$ Formisoton $$ Aminic acid $$ Collo-Didax $$ Formylic acid $$ Methanoic acid $$ Collo-Bueglatt $$ Hydrogen carboxylic acid $$ Formira $$ Add-F $$ HCOOH $$ Acide formique $$ Acido formico $$ Ameisensaeure $$ Formi,4.2607,1398532606,5.706,6059342,4.264,1291463067,4.555,40434537,4.02,266583029,4.024,234760778,,,
17=,47,THIOPHENE-D1,4.3765,216605325,7.284,1629810,4.381,171784681,4.65,164984375,4.26,1362747467,4.263,1310687538,,,
18=,50,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",4.5565,47841774,8.826,222782496,4.562,40724391,4.813,25953195,4.376,187126479,4.38,171138362,,,
19=,72,"Furan, 2-butyltetrahydro- (CAS) $$ Octane, 1,4-epoxy- $$ 2-Butyltetrahydrofuran $$ 2-N-BUTYLTETRAHYDROFURAN",4.6513,200828810,9.219,12082889,4.655,166450943,4.857,41504743,4.557,53572069,4.56,38315595,,,
20=,64,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",4.8131,32611585,10.06,8998347,4.819,26012132,4.979,87587195,4.652,173356519,4.656,165674767,,,
21=,32,"Propanal, 2,2-dimethyl- (CAS) $$ Trimethylacetaldehyde $$ Neopentanal $$ Pivalaldehyde $$ Pivalic aldehyde $$ 2,2-Dimethylpropanal $$ 2,2-Dimethylpropionaldehyde $$ .alpha.,.alpha.-Dimethylpropionaldehyde $$ 2,2-dimethyl-1-propanal $$ tert-C4H9CHO $$ Piva",4.8579,49031345,10.259,2877423,4.863,41638852,5.051,113604137,4.814,29942266,4.82,29038730,,,
22=,72,"Cyclotetrasiloxane, octamethyl- (CAS) $$ 1,1,3,3,5,5,7,7-OCTAMETHYL-CYCLOOCTASILOXANE $$ OCTAMETHYL-(CYCLIC TETRAMER) CYCLOTETRASILOXANE $$ Octamethylcyclotetrasiloxane $$ NUC Silicone VS 7207 $$ Octamethyl-cyclotetrasiloxane $$ Oktamethylcyklotetrasiloxa",4.9783,80049823,10.337,5728950,4.983,107989610,5.177,56245278,4.858,45161783,4.863,42487411,,,
23=,83,"Carbonic acid, dimethyl ester (CAS) $$ Methyl carbonate $$ Dimethyl ester of carbonic acid $$ Dimethyl carbonate $$ Methyl carbonate ((MeO)2CO) $$ Carbonic acid dimethyl ester $$ CH3OCOOCH3 $$ UN 1161",5.0507,129288060,11.23,4006797,5.055,133795454,5.217,80507636,4.979,87359198,4.984,80134488,,,
24=,38,"3-Penten-2-one, 4-methyl- (CAS) $$ Mesityl oxide $$ 2-METHYLPENT-2-EN-4-ONE $$ Isopropylideneacetone $$ Methyl isobutenyl ketone $$ Acetone, isopropylidene- $$ Isobutenyl methyl ketone $$ 4-Methyl-3-penten-2-one $$ Methyl 2-methyl-1-propenyl ketone $$ Met",5.1774,66154377,12.768,2204758,5.182,61717877,5.346,17868492,5.052,120963077,5.057,123949615,,,
25=,50,1-vinyl-1-cyclopropyl methyl ether,5.2181,97002429,13.237,1926943,5.222,85981969,5.411,25433731,5.178,58987237,5.182,60613180,,,
26=,10,"Propanal, 3-ethoxy- (CAS) $$ 3-Ethoxypropionaldehyde $$ 3-Ethoxypropanal $$ Propionaldehyde, 3-ethoxy- $$ .beta.-Ethoxypropionaldehyde",5.3497,21360430,14.239,65845579,5.356,18556011,5.468,34657934,5.218,84819210,5.221,80130509,,,
