Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
"Hexanoic acid, 1-methylethyl ester",11.486,9074,11.486,617719,11.486,22915823,11.486,28367675,11.486,4720837,11.486,2344537,11.486,7175775,11.486,160544,11.486,380527,11.486,40390753,11.486,35639107,11.486,24762958,11.486,1072407,11.485,29216872
"2-Penten-1-ol, acetate, (Z)-",11.827,2761,11.827,32250,11.827,345475,11.827,405418,11.827,499218,11.827,73585,11.827,128836,11.827,5741,11.827,52972,11.827,387180,11.827,277597,11.827,262259,11.827,122815,11.827,797046
"Butanoic acid, 3-methyl-, butyl ester",11.965,1781,11.965,10508,11.965,712112,11.965,145494,11.965,179791,11.965,75005,11.965,541372,11.965,10743,11.965,14078,11.965,712977,11.965,192202,11.965,280715,11.965,74392,11.965,459789
"2-Heptanol, acetate",12.331,13267,12.331,23344,12.330,484526,12.330,138706,12.330,142886,12.330,79585,12.330,211812,12.331,27933,12.330,35507,12.330,760432,12.330,178302,12.330,163322,12.330,92533,12.330,338290
"Butanoic acid, 3-methylbutyl ester",12.469,4402,12.469,73042,12.468,8307881,12.469,918681,12.468,1391426,12.468,834785,12.469,4528712,12.469,35454,12.469,146902,12.468,7156048,12.468,2017706,12.469,2265645,12.469,594961,12.468,5298330
"Acetic acid, nonyl ester",12.794,17158,12.794,30599,12.793,2564793,12.793,972558,12.793,499543,12.793,246252,12.793,695934,12.794,145043,12.793,120481,12.793,4309501,12.793,1741642,12.793,1486596,12.793,362964,12.793,2093061
n-Butyl methacrylate,12.980,9004,12.980,16732,12.980,5011260,12.980,1230649,12.980,1050138,12.980,49102,12.980,1974338,12.980,17146,12.980,22308,12.980,7929347,12.980,1637003,12.980,4489926,12.980,68718,12.980,2996875
"2-Hexenoic acid, methyl ester",13.143,9108,13.143,20639,13.143,429041,13.143,147419,13.143,207127,13.143,83695,13.143,184512,13.143,33298,13.143,51986,13.143,451864,13.143,227536,13.143,255115,13.143,103526,13.143,262022
"Hexanoic acid, propyl ester",14.142,280,14.142,4512,14.142,202224,14.142,155146,14.142,94424,14.142,24041,14.142,83241,14.142,2509,14.142,3478,14.142,127593,14.142,117866,14.142,150720,14.142,10310,14.142,78093
2-Heptanol,14.223,7879,14.223,17241,14.223,445327,14.223,87589,14.223,69208,14.223,41175,14.223,145092,14.223,8929,14.223,15265,14.223,732114,14.223,138632,14.223,116115,14.223,30535,14.223,266196
"5-Hexene-1-ol, acetate",14.329,10933,14.329,15091,14.329,150802,14.329,77552,14.329,54638,14.329,31789,14.329,61051,14.329,16718,14.329,17080,14.329,185570,14.329,113200,14.329,99600,14.329,44636,14.329,286217
"Silane, diethyl(trans-4-methylcyclohexyloxy)undecyloxy-",14.499,215456,14.499,142893,14.499,149227,14.499,135999,14.499,122024,14.499,114259,14.499,121872,14.499,261785,14.499,115988,14.499,179567,14.499,140991,14.499,131440,14.499,106499,14.499,144458
"Propanoic acid, hexyl ester",14.759,2634,14.759,3907,14.759,296577,14.759,26550,14.759,14069,14.759,9406,14.759,55509,14.759,4279,14.759,5150,14.759,202144,14.759,44865,14.759,38781,14.759,8039,14.759,65723
"Propionic acid, 3-hydroxy-2-isopropylidene-",15.003,1014,15.003,11126,15.003,279167,15.003,201029,15.003,101746,15.003,36668,15.003,108209,15.003,5152,15.003,13010,15.003,1859213,15.003,576931,15.003,1025497,15.003,83419,15.003,1156238
1-Hexanol,15.287,5654,15.287,18744,15.287,11728665,15.287,1424467,15.287,322083,15.287,66802,15.287,1460800,15.287,24915,15.287,24398,15.287,8194620,15.287,3050812,15.287,2023745,15.287,107321,15.287,3590106
"Propanoic acid, 2-methyl-, hexyl ester",15.832,1697,15.832,2402,15.831,16760,15.832,5614,15.831,5527,15.831,3790,15.831,8581,15.832,2259,15.832,2075,15.831,16139,15.831,8490,15.831,7242,15.832,4591,15.831,10002
"Acetic acid, heptyl ester (1)",15.889,9751,15.888,11258,15.888,60682,15.888,28219,15.888,24302,15.888,15325,15.888,25246,15.888,10700,15.888,12722,15.888,101662,15.888,51756,15.888,41494,15.888,16150,15.888,66115
CH3C(O)OCH(CH3)C(O)CH3,16.083,8205,16.083,11351,16.083,321113,16.083,73513,16.083,151868,16.083,18579,16.083,111799,16.083,10323,16.083,12206,16.083,214525,16.083,43104,16.083,89516,16.083,21562,16.083,191982
"Butanoic acid, 1-methylhexyl ester",16.693,2573,16.693,3123,16.693,156520,16.693,11658,16.692,11803,16.692,12811,16.693,63744,16.693,4695,16.693,3970,16.692,76272,16.692,13768,16.693,12946,16.693,7594,16.692,33144
"Hexanoic acid, 3-pentyl ester",16.790,741,16.790,2696,16.790,101426,16.790,33044,16.790,22618,16.790,23720,16.790,64827,16.790,1978,16.790,2661,16.790,77781,16.790,42468,16.790,25556,16.790,10436,16.790,45083
Methyl 2-(methylthio)acetate,16.847,321,16.847,829,16.847,35816,16.847,4631,16.847,11212,16.847,4242,16.847,21957,16.847,802,16.847,2454,16.847,36684,16.847,5767,16.847,18545,16.847,16567,16.847,47266
Cyclohexanol,16.920,8844,16.920,9741,16.920,77351,16.920,44034,16.920,26049,16.920,11689,16.920,47519,16.920,8702,16.920,8112,16.920,60969,16.920,247791,16.920,93155,16.920,16292,16.920,320397
"Butanoic acid, 3-methyl-, hexyl ester",18.114,1590,18.114,3194,18.114,462862,18.114,33240,18.114,32617,18.114,14561,18.114,264432,18.114,4465,18.114,4642,18.114,377884,18.114,47993,18.114,49360,18.114,10629,18.114,189200
"Hydrazine, 1,2-dimethyl-",18.618,13565,18.618,12168,18.618,491986,18.618,549007,18.618,47182,18.618,23499,18.618,52940,18.618,35405,18.618,14019,18.618,2106161,18.618,1133408,18.618,1360322,18.618,126787,18.618,1459773
"Acetic acid, octyl ester",19.024,22974,19.024,25793,19.024,1428617,19.024,380481,19.024,370138,19.024,68813,19.024,537915,19.024,39245,19.024,25863,19.024,1932008,19.024,384822,19.024,365327,19.024,76767,19.024,928079
"Butanoic acid, 3-hydroxy-, methyl ester",19.195,14644,19.195,20117,19.194,92548,19.194,68746,19.194,71788,19.194,31929,19.194,48263,19.195,24621,19.195,29818,19.194,276137,19.194,125428,19.194,186599,19.194,57142,19.194,166716
2-Mercapto-4-phenylthiazole,20.064,985019,20.064,505485,20.064,462659,20.064,388937,20.064,343730,20.064,291240,20.064,303509,20.064,856691,20.064,288415,20.064,536385,20.064,351788,20.064,376014,20.064,257535,20.064,364347
Ethylene glycol di-n-butyrate,20.169,1896,20.169,2140,20.169,149888,20.169,6987,20.169,14161,20.169,3178,20.169,32065,20.169,2560,20.169,3441,20.169,22781,20.169,5054,20.169,6336,20.169,3302,20.169,11658
"5-Decen-1-ol, acetate, (E)-",20.868,15278,20.868,13896,20.868,132086,20.868,24584,20.868,29465,20.868,16217,20.868,50187,20.868,12206,20.868,10957,20.868,86602,20.868,30370,20.868,35548,20.868,14905,20.868,53893
"2-Butanol, 3-methyl-, (S)-",21.095,8524,21.095,12337,21.095,157530,21.095,49660,21.095,40487,21.095,14835,21.095,50228,21.095,11821,21.095,10410,21.095,149272,21.095,252089,21.095,203710,21.095,24306,21.095,101636
"Formic acid, octyl ester",21.648,4052,21.648,4736,21.648,205702,21.648,34034,21.648,35212,21.648,7843,21.648,63908,21.648,6524,21.648,4957,21.648,288271,21.648,64735,21.648,69041,21.648,8665,21.648,166363
"4H-Pyran-4-one, 3,5-dihydroxy-2-methyl-",22.614,989,22.614,85406,22.614,3707347,22.614,1036243,22.614,1355040,22.614,437101,22.614,3768581,22.614,19638,22.614,492920,22.614,4048257,22.614,1815312,22.614,2004954,22.614,1017348,22.614,4468534
"Hexanoic acid, hexyl ester",23.142,790,23.142,1426,23.142,285100,23.142,12913,23.142,4545,23.142,2893,23.142,26005,23.142,2753,23.142,1978,23.142,55236,23.142,13833,23.142,6167,23.142,3168,23.142,10847
