Peak_ID,Library\ID,SWDSB24C01,SWDSB24R01,SWDSB24C02,SWDSB24R02,SWDSB24C03,SWDSB24R03,SWDSB48C01,SWDSB48R01,SWDSB48C02,SWDSB48R02,SWDSB48C03,SWDSB48R03
Peak_050,"Butanoic acid, 3-hydroxy-, methyl ester",20117,92548,68746,71788,31929,48263,29818,276137,125428,186599,57142,166716
Peak_051,2-Mercapto-4-phenylthiazole,505485,462659,388937,343730,291240,303509,288415,536385,351788,376014,257535,364347
Peak_052,Ethylene glycol di-n-butyrate,2140,149888,6987,14161,3178,32065,3441,22781,5054,6336,3302,11658
Peak_053,"5-Decen-1-ol, acetate, (E)-",13896,132086,24584,29465,16217,50187,10957,86602,30370,35548,14905,53893
Peak_054,"2-Butanol, 3-methyl-, (S)-",12337,157530,49660,40487,14835,50228,10410,149272,252089,203710,24306,101636
Peak_055,"Formic acid, octyl ester",4736,205702,34034,35212,7843,63908,4957,288271,64735,69041,8665,166363
Peak_056,"4H-Pyran-4-one, 3,5-dihydroxy-2-methyl-",85406,3707347,1036243,1355040,437101,3768581,492920,4048257,1815312,2004954,1017348,4468534
Peak_057,"Hexanoic acid, hexyl ester",1426,285100,12913,4545,2893,26005,1978,55236,13833,6167,3168,10847
Peak_058,"Butanoic acid, octyl ester",3268,229076,8678,14261,5934,109625,2806,49267,8041,6308,2819,16028
Peak_059,.+/-.-Tetrahydro-3-furanmethanol,2895,394626,19855,24350,10494,138720,4114,100275,14864,11030,4589,34006
Peak_060,"Butanoic acid, 2-methyl-, octyl ester",2333,46359,13570,27319,5608,36209,2219,86400,32813,33891,4605,62592
Peak_061,Butanoic acid,7752,293328,110329,37298,14375,81308,7362,661538,529641,516318,31063,899250
Peak_062,"Butanoic acid, 3-methyl-, octyl ester",23344,298112,156191,217186,37259,84694,25973,671481,334342,392087,59889,315141
Peak_063,"1-Octen-3-ol, methyl ether",2202,36538,3993,4865,3280,18674,2358,9666,4125,3808,2344,5372
Peak_064,"Hexanoic acid, 2-methyl-",3780,211710,20463,61544,13333,73507,6793,907550,275232,991284,28290,1051400
Peak_065,"Butanoic acid, 1-methylbutyl ester",2771,46937,4422,4898,3144,11446,1653,27890,11588,6438,2392,8952
Peak_066,"2(3H)-Furanone, 5-ethyldihydro-",8778,193833,38565,40735,18090,91636,12333,273190,88040,74197,17543,145939
Peak_067,"Butanoic acid, pentyl ester",2591,208544,8981,7710,4397,30141,2541,76071,15321,11600,3207,17070
Peak_068,"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-",25495,93048,77547,159356,46196,415703,48833,87541,83878,94861,68298,249269
Peak_069,"Propanoic acid, 2-methyl-, 1,2,3-propanetriyl ester",2104,41685,6911,3899,3711,9477,1966,6492,4128,3569,2844,5326
Peak_070,"4-Heptanone, 3-ethyl-",3377165,1912785,1322377,1238474,1007677,1167677,1621027,2105389,1182483,1392218,869503,1422117
Peak_071,"Benzoic acid, heptyl ester",3018,33248,8465,12966,4524,13547,2869,30411,19876,28632,5576,23803
Peak_072,"Hexanoic acid, anhydride",1000,47210,5837,3759,2245,10336,652,4260,2607,1498,976,2115
Peak_073,Hexanoic acid,7538,69917,19494,11288,8566,16486,4679,514199,262275,63635,12623,116432
Peak_074,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",307472,184166,137132,138287,122987,133954,173421,207233,144828,139889,108602,154342
Peak_075,4-Methylthiazole,1393,18343,2522,1930,881,3728,1049,3657,1459,1590,757,1471
Peak_076,"2-Propenoic acid, 3-phenyl-, methyl ester",9388,37572,11805,22524,8478,17342,14366,59711,22525,45197,10085,37729
Peak_077,Isopentyl hexanoate,309,609712,110627,65257,19570,228806,185,696580,392182,204152,12915,481960
