Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
Methyl Isobutyl Ketone,JTB-E02-199-06.D,5.345,2581,JTB-E02-199-07.D,5.377,1116,JTB-E02-199-08.D,5.345,549,JTB-E02-199-11.D,5.353,63981,JTB-E02-199-12.D,5.336,128686,JTB-E02-199-13.D,5.369,73109,JTB-E02-199-14.D,5.353,61761,JTB-E02-199-15.D,5.353,92141,JTB-E02-199-16.D,5.345,74955,JTB-E02-199-17.D,5.353,77895,JTB-E02-200-06.D,5.328,2115,JTB-E02-200-07.D,,,JTB-E02-200-08.D,,,JTB-E02-200-11.D,5.361,64361,JTB-E02-200-12.D,5.353,66068,JTB-E02-200-13.D,5.369,48973,JTB-E02-200-14.D,5.353,49948,JTB-E02-200-15.D,5.353,59492,JTB-E02-200-16.D,5.353,62433,JTB-E02-200-17.D,5.353,53820,JTB-E02-201-06.D,5.361,1191,JTB-E02-201-07.D,5.353,166,JTB-E02-201-08.D,5.353,354,JTB-E02-201-11.D,5.361,40581,JTB-E02-201-12.D,5.369,24709,JTB-E02-201-13.D,5.361,35525,JTB-E02-201-14.D,5.353,38240,JTB-E02-201-15.D,5.353,39608,JTB-E02-201-16.D,5.353,51979,JTB-E02-201-17.D,5.344,51196
"Butanoic acid, 2-methyl-, methyl ester",JTB-E02-199-06.D,5.41,358,JTB-E02-199-07.D,5.426,169,JTB-E02-199-08.D,5.41,462,JTB-E02-199-11.D,5.41,58088,JTB-E02-199-12.D,,,JTB-E02-199-13.D,5.434,68918,JTB-E02-199-14.D,5.41,68470,JTB-E02-199-15.D,5.418,96955,JTB-E02-199-16.D,5.41,78822,JTB-E02-199-17.D,5.41,77484,JTB-E02-200-06.D,5.401,365,JTB-E02-200-07.D,5.409,1208,JTB-E02-200-08.D,5.426,881,JTB-E02-200-11.D,5.426,26920,JTB-E02-200-12.D,5.418,33789,JTB-E02-200-13.D,5.426,29007,JTB-E02-200-14.D,5.41,20635,JTB-E02-200-15.D,5.409,37363,JTB-E02-200-16.D,5.41,29909,JTB-E02-200-17.D,5.409,31550,JTB-E02-201-06.D,5.418,120,JTB-E02-201-07.D,5.434,133,JTB-E02-201-08.D,5.434,170,JTB-E02-201-11.D,5.418,11330,JTB-E02-201-12.D,5.426,14065,JTB-E02-201-13.D,5.434,13946,JTB-E02-201-14.D,5.418,11538,JTB-E02-201-15.D,5.41,11270,JTB-E02-201-16.D,5.418,19441,JTB-E02-201-17.D,5.401,11062
Isobutyl acetate,JTB-E02-199-06.D,5.458,1804,JTB-E02-199-07.D,5.458,278,JTB-E02-199-08.D,,,JTB-E02-199-11.D,5.475,97291,JTB-E02-199-12.D,5.483,15009,JTB-E02-199-13.D,5.483,97749,JTB-E02-199-14.D,5.466,108199,JTB-E02-199-15.D,5.466,141217,JTB-E02-199-16.D,5.458,128203,JTB-E02-199-17.D,5.466,116125,JTB-E02-200-06.D,5.458,1480,JTB-E02-200-07.D,,,JTB-E02-200-08.D,5.466,1375,JTB-E02-200-11.D,5.483,42797,JTB-E02-200-12.D,5.475,56899,JTB-E02-200-13.D,5.483,38193,JTB-E02-200-14.D,5.475,37272,JTB-E02-200-15.D,5.474,51343,JTB-E02-200-16.D,5.466,43569,JTB-E02-200-17.D,5.466,43002,JTB-E02-201-06.D,,,JTB-E02-201-07.D,5.434,425,JTB-E02-201-08.D,5.434,362,JTB-E02-201-11.D,5.475,18992,JTB-E02-201-12.D,5.474,19145,JTB-E02-201-13.D,5.483,19235,JTB-E02-201-14.D,5.466,14022,JTB-E02-201-15.D,5.458,19405,JTB-E02-201-16.D,5.474,29224,JTB-E02-201-17.D,5.466,20156
Methyl isovalerate,JTB-E02-199-06.D,5.588,1162,JTB-E02-199-07.D,5.604,59,JTB-E02-199-08.D,5.572,108,JTB-E02-199-11.D,5.58,518743,JTB-E02-199-12.D,,,JTB-E02-199-13.D,5.596,627738,JTB-E02-199-14.D,5.58,652956,JTB-E02-199-15.D,5.588,884108,JTB-E02-199-16.D,5.58,633584,JTB-E02-199-17.D,5.588,733440,JTB-E02-200-06.D,5.58,162,JTB-E02-200-07.D,5.572,228,JTB-E02-200-08.D,5.596,183,JTB-E02-200-11.D,5.596,263265,JTB-E02-200-12.D,5.588,306430,JTB-E02-200-13.D,5.596,260245,JTB-E02-200-14.D,5.588,235996,JTB-E02-200-15.D,5.588,322155,JTB-E02-200-16.D,5.58,269538,JTB-E02-200-17.D,5.588,287348,JTB-E02-201-06.D,,,JTB-E02-201-07.D,,,JTB-E02-201-08.D,5.613,349,JTB-E02-201-11.D,5.596,111032,JTB-E02-201-12.D,5.596,130346,JTB-E02-201-13.D,5.596,119437,JTB-E02-201-14.D,5.588,86075,JTB-E02-201-15.D,5.58,127857,JTB-E02-201-16.D,5.588,139622,JTB-E02-201-17.D,5.572,109642
2-Butanol,JTB-E02-199-06.D,5.71,23920,JTB-E02-199-07.D,5.702,24177,JTB-E02-199-08.D,5.726,1277,JTB-E02-199-11.D,5.71,127402,JTB-E02-199-12.D,5.71,302,JTB-E02-199-13.D,5.726,123237,JTB-E02-199-14.D,5.71,145853,JTB-E02-199-15.D,5.702,163267,JTB-E02-199-16.D,5.702,168120,JTB-E02-199-17.D,5.702,174059,JTB-E02-200-06.D,5.702,9036,JTB-E02-200-07.D,5.718,9997,JTB-E02-200-08.D,5.718,10855,JTB-E02-200-11.D,5.718,137064,JTB-E02-200-12.D,5.71,98022,JTB-E02-200-13.D,5.718,138541,JTB-E02-200-14.D,5.71,174530,JTB-E02-200-15.D,5.702,180638,JTB-E02-200-16.D,5.702,179128,JTB-E02-200-17.D,5.702,178582,JTB-E02-201-06.D,5.702,9625,JTB-E02-201-07.D,5.702,8848,JTB-E02-201-08.D,5.726,2296,JTB-E02-201-11.D,5.718,130653,JTB-E02-201-12.D,5.726,135851,JTB-E02-201-13.D,5.718,84182,JTB-E02-201-14.D,5.702,165468,JTB-E02-201-15.D,5.702,191419,JTB-E02-201-16.D,5.702,211113,JTB-E02-201-17.D,5.694,165535
Toluene,JTB-E02-199-06.D,5.994,60841,JTB-E02-199-07.D,5.994,54586,JTB-E02-199-08.D,5.995,681,JTB-E02-199-11.D,5.994,1934117,JTB-E02-199-12.D,6.003,6907,JTB-E02-199-13.D,6.011,401527,JTB-E02-199-14.D,5.994,1377390,JTB-E02-199-15.D,5.994,1104717,JTB-E02-199-16.D,5.986,865435,JTB-E02-199-17.D,5.994,1062762,JTB-E02-200-06.D,5.994,60283,JTB-E02-200-07.D,6.002,77118,JTB-E02-200-08.D,6.003,100324,JTB-E02-200-11.D,6.003,199085,JTB-E02-200-12.D,6.003,450240,JTB-E02-200-13.D,6.011,2185622,JTB-E02-200-14.D,5.994,678679,JTB-E02-200-15.D,5.994,437771,JTB-E02-200-16.D,5.994,807317,JTB-E02-200-17.D,5.994,1175897,JTB-E02-201-06.D,5.994,62699,JTB-E02-201-07.D,5.994,88716,JTB-E02-201-08.D,6.002,5872,JTB-E02-201-11.D,6.011,253772,JTB-E02-201-12.D,6.011,78599,JTB-E02-201-13.D,6.011,227408,JTB-E02-201-14.D,5.994,197286,JTB-E02-201-15.D,5.995,255868,JTB-E02-201-16.D,5.994,421984,JTB-E02-201-17.D,5.986,521910
"Butanoic acid, 2-methyl-, ethyl ester",JTB-E02-199-06.D,6.271,930,JTB-E02-199-07.D,6.287,616,JTB-E02-199-08.D,,,JTB-E02-199-11.D,6.271,55707,JTB-E02-199-12.D,6.271,85,JTB-E02-199-13.D,6.287,78221,JTB-E02-199-14.D,6.271,74436,JTB-E02-199-15.D,6.279,96114,JTB-E02-199-16.D,6.263,77719,JTB-E02-199-17.D,6.271,77815,JTB-E02-200-06.D,6.271,213,JTB-E02-200-07.D,6.27,325,JTB-E02-200-08.D,6.279,185,JTB-E02-200-11.D,6.287,21368,JTB-E02-200-12.D,6.279,24166,JTB-E02-200-13.D,6.287,22990,JTB-E02-200-14.D,6.271,17532,JTB-E02-200-15.D,6.279,24343,JTB-E02-200-16.D,6.271,21247,JTB-E02-200-17.D,6.27,22822,JTB-E02-201-06.D,6.287,180,JTB-E02-201-07.D,6.254,59,JTB-E02-201-08.D,6.279,324,JTB-E02-201-11.D,6.287,7307,JTB-E02-201-12.D,6.287,9561,JTB-E02-201-13.D,6.287,6336,JTB-E02-201-14.D,6.27,5540,JTB-E02-201-15.D,6.271,7738,JTB-E02-201-16.D,6.27,10758,JTB-E02-201-17.D,6.262,6019
"Butanoic acid, 3-methyl-, ethyl ester",JTB-E02-199-06.D,6.604,271,JTB-E02-199-07.D,,,JTB-E02-199-08.D,6.571,333,JTB-E02-199-11.D,6.596,387581,JTB-E02-199-12.D,6.595,517,JTB-E02-199-13.D,6.612,444051,JTB-E02-199-14.D,6.596,449861,JTB-E02-199-15.D,6.596,580906,JTB-E02-199-16.D,6.588,442687,JTB-E02-199-17.D,6.596,466458,JTB-E02-200-06.D,6.636,571,JTB-E02-200-07.D,6.628,552,JTB-E02-200-08.D,6.587,148,JTB-E02-200-11.D,6.604,118993,JTB-E02-200-12.D,6.596,148090,JTB-E02-200-13.D,6.604,130724,JTB-E02-200-14.D,6.596,104773,JTB-E02-200-15.D,6.595,146574,JTB-E02-200-16.D,6.596,122970,JTB-E02-200-17.D,6.595,130488,JTB-E02-201-06.D,6.587,298,JTB-E02-201-07.D,6.603,291,JTB-E02-201-08.D,6.628,593,JTB-E02-201-11.D,6.604,40976,JTB-E02-201-12.D,6.612,48821,JTB-E02-201-13.D,6.612,46971,JTB-E02-201-14.D,6.595,37973,JTB-E02-201-15.D,6.596,45176,JTB-E02-201-16.D,6.595,50228,JTB-E02-201-17.D,6.587,48312
"Disulfide, dimethyl",JTB-E02-199-06.D,6.685,83,JTB-E02-199-07.D,6.693,2523,JTB-E02-199-08.D,,,JTB-E02-199-11.D,6.685,8569173,JTB-E02-199-12.D,,,JTB-E02-199-13.D,6.701,2069558,JTB-E02-199-14.D,6.685,10464584,JTB-E02-199-15.D,6.685,11568039,JTB-E02-199-16.D,6.677,6010642,JTB-E02-199-17.D,6.685,9148104,JTB-E02-200-06.D,6.693,4370,JTB-E02-200-07.D,6.725,5303,JTB-E02-200-08.D,6.693,273,JTB-E02-200-11.D,6.693,1178147,JTB-E02-200-12.D,6.685,1315462,JTB-E02-200-13.D,6.693,1427175,JTB-E02-200-14.D,6.685,1409189,JTB-E02-200-15.D,6.685,1524261,JTB-E02-200-16.D,6.685,2034757,JTB-E02-200-17.D,6.685,2178296,JTB-E02-201-06.D,6.661,239,JTB-E02-201-07.D,6.693,286,JTB-E02-201-08.D,,,JTB-E02-201-11.D,6.693,177663,JTB-E02-201-12.D,6.701,295610,JTB-E02-201-13.D,6.701,320270,JTB-E02-201-14.D,6.685,246690,JTB-E02-201-15.D,6.677,428130,JTB-E02-201-16.D,6.685,752200,JTB-E02-201-17.D,6.669,280878
"Butanenitrile, 2-methyl-",JTB-E02-199-06.D,6.961,1211,JTB-E02-199-07.D,6.961,433,JTB-E02-199-08.D,6.994,205,JTB-E02-199-11.D,6.994,162765,JTB-E02-199-12.D,6.985,57715,JTB-E02-199-13.D,7.01,167534,JTB-E02-199-14.D,6.994,172435,JTB-E02-199-15.D,6.994,205970,JTB-E02-199-16.D,6.986,182054,JTB-E02-199-17.D,6.994,197397,JTB-E02-200-06.D,6.961,651,JTB-E02-200-07.D,6.961,57,JTB-E02-200-08.D,7.018,95,JTB-E02-200-11.D,7.01,148801,JTB-E02-200-12.D,7.002,152827,JTB-E02-200-13.D,7.01,145291,JTB-E02-200-14.D,6.994,138886,JTB-E02-200-15.D,6.993,158796,JTB-E02-200-16.D,6.994,145322,JTB-E02-200-17.D,6.993,154800,JTB-E02-201-06.D,6.994,333,JTB-E02-201-07.D,6.977,745,JTB-E02-201-08.D,,,JTB-E02-201-11.D,7.002,72844,JTB-E02-201-12.D,7.01,114735,JTB-E02-201-13.D,7.002,73205,JTB-E02-201-14.D,6.993,101614,JTB-E02-201-15.D,6.994,116395,JTB-E02-201-16.D,6.993,129321,JTB-E02-201-17.D,6.985,105532
"Disulfide, dimethyl1",JTB-E02-199-06.D,7.083,587,JTB-E02-199-07.D,7.05,237,JTB-E02-199-08.D,,,JTB-E02-199-11.D,7.05,35817,JTB-E02-199-12.D,7.083,6464,JTB-E02-199-13.D,,,JTB-E02-199-14.D,,,JTB-E02-199-15.D,7.075,212877,JTB-E02-199-16.D,7.075,10270,JTB-E02-199-17.D,7.075,168847,JTB-E02-200-06.D,,,JTB-E02-200-07.D,7.099,88,JTB-E02-200-08.D,,,JTB-E02-200-11.D,7.107,929,JTB-E02-200-12.D,7.083,1901,JTB-E02-200-13.D,7.107,18721,JTB-E02-200-14.D,,,JTB-E02-200-15.D,7.083,1424,JTB-E02-200-16.D,7.067,11196,JTB-E02-200-17.D,7.066,5094,JTB-E02-201-06.D,7.107,474,JTB-E02-201-07.D,7.067,576,JTB-E02-201-08.D,7.091,34,JTB-E02-201-11.D,7.091,625,JTB-E02-201-12.D,7.083,3863,JTB-E02-201-13.D,7.091,3228,JTB-E02-201-14.D,7.083,665,JTB-E02-201-15.D,7.067,1228,JTB-E02-201-16.D,7.067,5172,JTB-E02-201-17.D,7.058,243
"2-Butenal, 2-methyl-",JTB-E02-199-06.D,7.188,645,JTB-E02-199-07.D,,,JTB-E02-199-08.D,7.156,366,JTB-E02-199-11.D,7.18,150251,JTB-E02-199-12.D,7.205,855,JTB-E02-199-13.D,7.197,141582,JTB-E02-199-14.D,7.172,178669,JTB-E02-199-15.D,7.18,210070,JTB-E02-199-16.D,7.172,179889,JTB-E02-199-17.D,7.18,205789,JTB-E02-200-06.D,7.188,358,JTB-E02-200-07.D,7.18,623,JTB-E02-200-08.D,7.18,216,JTB-E02-200-11.D,7.188,82865,JTB-E02-200-12.D,7.18,164369,JTB-E02-200-13.D,7.189,110270,JTB-E02-200-14.D,7.18,150513,JTB-E02-200-15.D,7.172,131894,JTB-E02-200-16.D,7.18,167390,JTB-E02-200-17.D,7.172,172310,JTB-E02-201-06.D,7.197,247,JTB-E02-201-07.D,,,JTB-E02-201-08.D,,,JTB-E02-201-11.D,7.189,143010,JTB-E02-201-12.D,7.197,125402,JTB-E02-201-13.D,7.189,140403,JTB-E02-201-14.D,7.172,132126,JTB-E02-201-15.D,7.172,87762,JTB-E02-201-16.D,7.172,164484,JTB-E02-201-17.D,7.172,127858
"1-Propanol, 2-methyl-",JTB-E02-199-06.D,7.253,107,JTB-E02-199-07.D,,,JTB-E02-199-08.D,7.221,2274,JTB-E02-199-11.D,7.245,1437382,JTB-E02-199-12.D,7.245,1148,JTB-E02-199-13.D,7.229,1423897,JTB-E02-199-14.D,,,JTB-E02-199-15.D,7.262,2028129,JTB-E02-199-16.D,7.237,1880524,JTB-E02-199-17.D,7.262,1912224,JTB-E02-200-06.D,7.27,230,JTB-E02-200-07.D,7.278,316,JTB-E02-200-08.D,,,JTB-E02-200-11.D,7.245,1588184,JTB-E02-200-12.D,7.237,912832,JTB-E02-200-13.D,7.27,1618540,JTB-E02-200-14.D,7.245,1827840,JTB-E02-200-15.D,7.253,1836091,JTB-E02-200-16.D,7.262,1929089,JTB-E02-200-17.D,7.245,1854395,JTB-E02-201-06.D,7.278,455,JTB-E02-201-07.D,,,JTB-E02-201-08.D,7.245,544,JTB-E02-201-11.D,7.245,1423257,JTB-E02-201-12.D,7.27,1700523,JTB-E02-201-13.D,7.262,1565772,JTB-E02-201-14.D,7.237,1731439,JTB-E02-201-15.D,7.254,1636682,JTB-E02-201-16.D,7.253,1895567,JTB-E02-201-17.D,7.237,1801381
"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,,,JTB-E02-199-11.D,7.57,1948634,JTB-E02-199-12.D,7.57,56912,JTB-E02-199-13.D,,,JTB-E02-199-14.D,,,JTB-E02-199-15.D,7.562,3068869,JTB-E02-199-16.D,7.57,2781425,JTB-E02-199-17.D,7.562,2446985,JTB-E02-200-06.D,,,JTB-E02-200-07.D,,,JTB-E02-200-08.D,,,JTB-E02-200-11.D,7.595,434756,JTB-E02-200-12.D,7.587,558967,JTB-E02-200-13.D,7.578,583775,JTB-E02-200-14.D,7.57,477457,JTB-E02-200-15.D,7.57,642716,JTB-E02-200-16.D,7.562,503069,JTB-E02-200-17.D,7.57,600265,JTB-E02-201-06.D,7.595,160,JTB-E02-201-07.D,,,JTB-E02-201-08.D,,,JTB-E02-201-11.D,7.587,173270,JTB-E02-201-12.D,7.578,246609,JTB-E02-201-13.D,7.587,241905,JTB-E02-201-14.D,7.578,186025,JTB-E02-201-15.D,7.562,205603,JTB-E02-201-16.D,7.57,268446,JTB-E02-201-17.D,7.562,238341
"1-Butanol, 3-methyl-, acetate",JTB-E02-199-06.D,7.887,190,JTB-E02-199-07.D,,,JTB-E02-199-08.D,7.895,1227,JTB-E02-199-11.D,7.895,71440,JTB-E02-199-12.D,,,JTB-E02-199-13.D,,,JTB-E02-199-14.D,,,JTB-E02-199-15.D,7.895,99897,JTB-E02-199-16.D,7.895,112956,JTB-E02-199-17.D,7.895,96389,JTB-E02-200-06.D,,,JTB-E02-200-07.D,7.887,1548,JTB-E02-200-08.D,7.863,470,JTB-E02-200-11.D,,,JTB-E02-200-12.D,,,JTB-E02-200-13.D,7.912,29248,JTB-E02-200-14.D,,,JTB-E02-200-15.D,7.895,31166,JTB-E02-200-16.D,7.887,23739,JTB-E02-200-17.D,7.895,3830,JTB-E02-201-06.D,7.895,229,JTB-E02-201-07.D,7.911,1104,JTB-E02-201-08.D,7.911,346,JTB-E02-201-11.D,,,JTB-E02-201-12.D,7.92,9786,JTB-E02-201-13.D,,,JTB-E02-201-14.D,,,JTB-E02-201-15.D,,,JTB-E02-201-16.D,,,JTB-E02-201-17.D,7.895,13384
"Butanenitrile, 3-methyl-",JTB-E02-199-06.D,8.001,561,JTB-E02-199-07.D,7.984,664,JTB-E02-199-08.D,,,JTB-E02-199-11.D,8.001,310,JTB-E02-199-12.D,8.017,79,JTB-E02-199-13.D,7.985,924,JTB-E02-199-14.D,7.96,678,JTB-E02-199-15.D,7.993,1297,JTB-E02-199-16.D,8.009,157,JTB-E02-199-17.D,7.968,495,JTB-E02-200-06.D,7.968,364,JTB-E02-200-07.D,8.025,429,JTB-E02-200-08.D,,,JTB-E02-200-11.D,,,JTB-E02-200-12.D,7.968,2021,JTB-E02-200-13.D,7.976,642,JTB-E02-200-14.D,7.96,743,JTB-E02-200-15.D,7.993,56,JTB-E02-200-16.D,8.017,73,JTB-E02-200-17.D,7.952,1958,JTB-E02-201-06.D,7.968,1000,JTB-E02-201-07.D,8.001,312,JTB-E02-201-08.D,,,JTB-E02-201-11.D,8.009,160,JTB-E02-201-12.D,7.993,1213,JTB-E02-201-13.D,7.976,1882,JTB-E02-201-14.D,,,JTB-E02-201-15.D,8.009,50,JTB-E02-201-16.D,8.017,284,JTB-E02-201-17.D,8.009,53
"2-Pentene, 4,4-dimethyl-",JTB-E02-199-06.D,8.171,534,JTB-E02-199-07.D,8.179,369,JTB-E02-199-08.D,,,JTB-E02-199-11.D,8.163,29709,JTB-E02-199-12.D,8.188,150,JTB-E02-199-13.D,8.18,18042,JTB-E02-199-14.D,8.163,41124,JTB-E02-199-15.D,8.163,53323,JTB-E02-199-16.D,8.163,52683,JTB-E02-199-17.D,8.171,47346,JTB-E02-200-06.D,8.171,464,JTB-E02-200-07.D,8.171,938,JTB-E02-200-08.D,,,JTB-E02-200-11.D,8.18,31497,JTB-E02-200-12.D,8.18,37112,JTB-E02-200-13.D,8.171,33670,JTB-E02-200-14.D,8.163,34010,JTB-E02-200-15.D,8.163,44833,JTB-E02-200-16.D,8.163,39524,JTB-E02-200-17.D,8.163,39063,JTB-E02-201-06.D,8.163,727,JTB-E02-201-07.D,8.147,195,JTB-E02-201-08.D,8.163,221,JTB-E02-201-11.D,8.18,27185,JTB-E02-201-12.D,8.179,14954,JTB-E02-201-13.D,8.18,31191,JTB-E02-201-14.D,8.163,29022,JTB-E02-201-15.D,8.163,37958,JTB-E02-201-16.D,8.163,37756,JTB-E02-201-17.D,8.155,33068
o-Xylene,JTB-E02-199-06.D,8.35,19983,JTB-E02-199-07.D,,,JTB-E02-199-08.D,8.318,477,JTB-E02-199-11.D,8.334,47406,JTB-E02-199-12.D,8.358,548,JTB-E02-199-13.D,,,JTB-E02-199-14.D,8.35,35863,JTB-E02-199-15.D,8.326,61009,JTB-E02-199-16.D,8.334,57627,JTB-E02-199-17.D,8.326,58103,JTB-E02-200-06.D,8.35,4050,JTB-E02-200-07.D,8.301,507,JTB-E02-200-08.D,8.326,362,JTB-E02-200-11.D,8.358,5413,JTB-E02-200-12.D,8.35,19749,JTB-E02-200-13.D,8.35,18200,JTB-E02-200-14.D,8.326,17308,JTB-E02-200-15.D,8.326,32891,JTB-E02-200-16.D,8.326,46200,JTB-E02-200-17.D,8.334,32390,JTB-E02-201-06.D,8.301,276,JTB-E02-201-07.D,,,JTB-E02-201-08.D,8.35,1027,JTB-E02-201-11.D,8.342,26218,JTB-E02-201-12.D,8.35,6517,JTB-E02-201-13.D,8.342,8096,JTB-E02-201-14.D,8.342,17134,JTB-E02-201-15.D,8.326,14391,JTB-E02-201-16.D,8.334,10761,JTB-E02-201-17.D,8.334,15243
1-Butanol,JTB-E02-199-06.D,8.537,8778,JTB-E02-199-07.D,8.545,13232,JTB-E02-199-08.D,8.529,625,JTB-E02-199-11.D,8.561,236073,JTB-E02-199-12.D,,,JTB-E02-199-13.D,8.561,248274,JTB-E02-199-14.D,8.553,248677,JTB-E02-199-15.D,8.569,616309,JTB-E02-199-16.D,8.553,432386,JTB-E02-199-17.D,8.57,500442,JTB-E02-200-06.D,,,JTB-E02-200-07.D,8.553,4818,JTB-E02-200-08.D,8.545,3674,JTB-E02-200-11.D,8.569,294719,JTB-E02-200-12.D,8.561,253447,JTB-E02-200-13.D,8.586,311397,JTB-E02-200-14.D,8.561,661869,JTB-E02-200-15.D,8.569,805440,JTB-E02-200-16.D,8.57,595606,JTB-E02-200-17.D,8.561,561466,JTB-E02-201-06.D,8.537,3538,JTB-E02-201-07.D,8.569,474,JTB-E02-201-08.D,,,JTB-E02-201-11.D,8.569,295285,JTB-E02-201-12.D,8.586,299487,JTB-E02-201-13.D,8.578,321643,JTB-E02-201-14.D,8.553,794917,JTB-E02-201-15.D,8.561,925479,JTB-E02-201-16.D,8.569,826856,JTB-E02-201-17.D,8.553,673830
"Cyclopentasiloxane, decamethyl-",JTB-E02-199-06.D,8.813,915469,JTB-E02-199-07.D,8.813,618944,JTB-E02-199-08.D,8.821,15506,JTB-E02-199-11.D,8.805,354123,JTB-E02-199-12.D,,,JTB-E02-199-13.D,8.829,232343,JTB-E02-199-14.D,8.821,201616,JTB-E02-199-15.D,8.805,245393,JTB-E02-199-16.D,8.805,142966,JTB-E02-199-17.D,8.813,455036,JTB-E02-200-06.D,8.813,217128,JTB-E02-200-07.D,8.829,428969,JTB-E02-200-08.D,8.829,273600,JTB-E02-200-11.D,8.821,109548,JTB-E02-200-12.D,8.821,641696,JTB-E02-200-13.D,8.821,450055,JTB-E02-200-14.D,8.805,218059,JTB-E02-200-15.D,8.805,278643,JTB-E02-200-16.D,8.805,377499,JTB-E02-200-17.D,8.805,324783,JTB-E02-201-06.D,8.821,644412,JTB-E02-201-07.D,8.821,457801,JTB-E02-201-08.D,8.837,95688,JTB-E02-201-11.D,8.821,999648,JTB-E02-201-12.D,8.821,549392,JTB-E02-201-13.D,8.821,148013,JTB-E02-201-14.D,8.805,186474,JTB-E02-201-15.D,8.805,391150,JTB-E02-201-16.D,8.805,420595,JTB-E02-201-17.D,8.805,288701
"2-Butenoic acid, ethyl ester, (E)-",JTB-E02-199-06.D,8.992,548,JTB-E02-199-07.D,,,JTB-E02-199-08.D,,,JTB-E02-199-11.D,9,45226,JTB-E02-199-12.D,9,1158,JTB-E02-199-13.D,9.024,44347,JTB-E02-199-14.D,9.008,56651,JTB-E02-199-15.D,9,65113,JTB-E02-199-16.D,9,58814,JTB-E02-199-17.D,9,62493,JTB-E02-200-06.D,8.992,661,JTB-E02-200-07.D,9.016,71,JTB-E02-200-08.D,,,JTB-E02-200-11.D,9.008,25563,JTB-E02-200-12.D,9.008,31601,JTB-E02-200-13.D,9.016,24438,JTB-E02-200-14.D,9,25112,JTB-E02-200-15.D,8.992,37472,JTB-E02-200-16.D,9,32112,JTB-E02-200-17.D,9,31051,JTB-E02-201-06.D,8.976,19,JTB-E02-201-07.D,9.024,400,JTB-E02-201-08.D,9.016,565,JTB-E02-201-11.D,9.016,15311,JTB-E02-201-12.D,9.016,3666,JTB-E02-201-13.D,9.016,16588,JTB-E02-201-14.D,9,15624,JTB-E02-201-15.D,9,16111,JTB-E02-201-16.D,9,16315,JTB-E02-201-17.D,9,19093
