Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
Name,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.,Data File,RT,Resp.
2-Butanone,JTB-E02-199-06.D,3.826,34559,JTB-E02-199-07.D,3.825,82682,JTB-E02-199-08.D,,,JTB-E02-199-11.D,3.826,2510705,JTB-E02-199-12.D,3.858,4432,JTB-E02-199-13.D,3.834,1795448,JTB-E02-199-14.D,3.817,2696591,JTB-E02-199-15.D,3.826,3089642,JTB-E02-199-16.D,3.818,3158300,JTB-E02-199-17.D,3.826,2771034,JTB-E02-200-06.D,3.826,9292,JTB-E02-200-07.D,3.834,8261,JTB-E02-200-08.D,3.834,5124,JTB-E02-200-11.D,3.834,2322454,JTB-E02-200-12.D,3.826,2312439,JTB-E02-200-13.D,3.834,2787504,JTB-E02-200-14.D,3.826,2852087,JTB-E02-200-15.D,3.825,3028690,JTB-E02-200-16.D,3.826,2934122,JTB-E02-200-17.D,3.825,3248807,JTB-E02-201-06.D,3.826,5510,JTB-E02-201-07.D,3.825,13707,JTB-E02-201-08.D,3.834,443,JTB-E02-201-11.D,3.834,2666361,JTB-E02-201-12.D,3.834,2317703,JTB-E02-201-13.D,3.834,2633783,JTB-E02-201-14.D,3.825,2879665,JTB-E02-201-15.D,3.826,2982120,JTB-E02-201-16.D,3.825,3465941,JTB-E02-201-17.D,3.809,3291644
"Butanal, 2-methyl-",JTB-E02-199-06.D,3.98,588,JTB-E02-199-07.D,3.955,122,JTB-E02-199-08.D,3.988,396,JTB-E02-199-11.D,3.972,2183354,JTB-E02-199-12.D,3.955,1046,JTB-E02-199-13.D,3.988,2458840,JTB-E02-199-14.D,3.972,1566298,JTB-E02-199-15.D,3.98,1768847,JTB-E02-199-16.D,3.964,2130585,JTB-E02-199-17.D,3.972,1692874,JTB-E02-200-06.D,,,JTB-E02-200-07.D,3.98,2262,JTB-E02-200-08.D,3.988,2731,JTB-E02-200-11.D,3.98,1911204,JTB-E02-200-12.D,3.972,3600265,JTB-E02-200-13.D,3.98,1686593,JTB-E02-200-14.D,3.972,1233914,JTB-E02-200-15.D,3.972,43135,JTB-E02-200-16.D,3.972,1001000,JTB-E02-200-17.D,3.972,1025258,JTB-E02-201-06.D,3.972,492,JTB-E02-201-07.D,3.996,652,JTB-E02-201-08.D,3.964,143,JTB-E02-201-11.D,3.98,3565851,JTB-E02-201-12.D,3.988,3880850,JTB-E02-201-13.D,3.98,2011714,JTB-E02-201-14.D,3.972,1151915,JTB-E02-201-15.D,3.972,105584,JTB-E02-201-16.D,3.972,945691,JTB-E02-201-17.D,3.964,690045
"Butanal, 3-methyl-",JTB-E02-199-06.D,4.012,5767,JTB-E02-199-07.D,4.012,6044,JTB-E02-199-08.D,4.045,1079,JTB-E02-199-11.D,4.021,7981955,JTB-E02-199-12.D,,,JTB-E02-199-13.D,4.037,8764819,JTB-E02-199-14.D,4.012,2623074,JTB-E02-199-15.D,4.029,2894906,JTB-E02-199-16.D,4.012,2446137,JTB-E02-199-17.D,4.021,3008489,JTB-E02-200-06.D,4.02,3373,JTB-E02-200-07.D,4.053,7676,JTB-E02-200-08.D,4.029,5951,JTB-E02-200-11.D,4.029,13600439,JTB-E02-200-12.D,4.021,13339336,JTB-E02-200-13.D,4.029,12156945,JTB-E02-200-14.D,4.02,825010,JTB-E02-200-15.D,4.02,435102,JTB-E02-200-16.D,4.021,1473787,JTB-E02-200-17.D,4.02,1813274,JTB-E02-201-06.D,4.045,8271,JTB-E02-201-07.D,4.028,4337,JTB-E02-201-08.D,4.02,2020,JTB-E02-201-11.D,4.029,13094791,JTB-E02-201-12.D,4.037,13457537,JTB-E02-201-13.D,4.029,13201256,JTB-E02-201-14.D,4.02,975200,JTB-E02-201-15.D,4.021,506622,JTB-E02-201-16.D,4.02,1292130,JTB-E02-201-17.D,4.012,1187193
Ethanol,JTB-E02-199-06.D,4.248,24070,JTB-E02-199-07.D,4.248,27828,JTB-E02-199-08.D,4.24,1784,JTB-E02-199-11.D,4.248,18261756,JTB-E02-199-12.D,,,JTB-E02-199-13.D,4.256,10026109,JTB-E02-199-14.D,4.24,19932593,JTB-E02-199-15.D,4.248,14507213,JTB-E02-199-16.D,4.24,21987978,JTB-E02-199-17.D,4.248,21496945,JTB-E02-200-06.D,4.24,52200,JTB-E02-200-07.D,4.256,62754,JTB-E02-200-08.D,4.248,34137,JTB-E02-200-11.D,4.256,19173729,JTB-E02-200-12.D,4.248,20695496,JTB-E02-200-13.D,4.256,19196899,JTB-E02-200-14.D,4.248,21311378,JTB-E02-200-15.D,4.248,21598447,JTB-E02-200-16.D,4.248,21805595,JTB-E02-200-17.D,4.248,21189381,JTB-E02-201-06.D,4.248,49598,JTB-E02-201-07.D,4.248,42938,JTB-E02-201-08.D,4.248,8211,JTB-E02-201-11.D,4.248,9156644,JTB-E02-201-12.D,4.256,8099423,JTB-E02-201-13.D,4.256,11234601,JTB-E02-201-14.D,4.248,20588913,JTB-E02-201-15.D,4.248,22037799,JTB-E02-201-16.D,4.248,21899994,JTB-E02-201-17.D,4.232,20715768
"2H-Pyran, 2-(butylthio)tetrahydro-",JTB-E02-199-06.D,4.41,271,JTB-E02-199-07.D,4.378,70,JTB-E02-199-08.D,,,JTB-E02-199-11.D,4.378,226409,JTB-E02-199-12.D,4.394,33412,JTB-E02-199-13.D,4.386,181381,JTB-E02-199-14.D,4.37,269761,JTB-E02-199-15.D,4.378,354359,JTB-E02-199-16.D,4.37,299953,JTB-E02-199-17.D,4.378,317568,JTB-E02-200-06.D,4.394,93,JTB-E02-200-07.D,,,JTB-E02-200-08.D,4.402,658,JTB-E02-200-11.D,4.386,118955,JTB-E02-200-12.D,4.378,134126,JTB-E02-200-13.D,4.386,121942,JTB-E02-200-14.D,4.378,103177,JTB-E02-200-15.D,4.378,149486,JTB-E02-200-16.D,4.378,124697,JTB-E02-200-17.D,4.378,130845,JTB-E02-201-06.D,4.37,420,JTB-E02-201-07.D,,,JTB-E02-201-08.D,4.378,865,JTB-E02-201-11.D,4.386,60286,JTB-E02-201-12.D,4.394,66758,JTB-E02-201-13.D,4.386,65245,JTB-E02-201-14.D,4.378,50768,JTB-E02-201-15.D,4.378,71758,JTB-E02-201-16.D,4.378,77044,JTB-E02-201-17.D,4.37,61171
"Furan, 2-butyltetrahydro-",JTB-E02-199-06.D,4.67,939,JTB-E02-199-07.D,4.67,2632,JTB-E02-199-08.D,4.638,123,JTB-E02-199-11.D,4.654,749347,JTB-E02-199-12.D,4.646,947,JTB-E02-199-13.D,4.662,779645,JTB-E02-199-14.D,4.646,866637,JTB-E02-199-15.D,4.654,1161168,JTB-E02-199-16.D,4.646,956130,JTB-E02-199-17.D,4.654,1051559,JTB-E02-200-06.D,4.678,1533,JTB-E02-200-07.D,4.654,618,JTB-E02-200-08.D,4.67,122,JTB-E02-200-11.D,4.662,545425,JTB-E02-200-12.D,4.654,626851,JTB-E02-200-13.D,4.662,552347,JTB-E02-200-14.D,4.654,545995,JTB-E02-200-15.D,4.654,699319,JTB-E02-200-16.D,4.654,638728,JTB-E02-200-17.D,4.654,655116,JTB-E02-201-06.D,4.662,2079,JTB-E02-201-07.D,4.662,1136,JTB-E02-201-08.D,4.67,1200,JTB-E02-201-11.D,4.662,354166,JTB-E02-201-12.D,4.662,257286,JTB-E02-201-13.D,4.662,380073,JTB-E02-201-14.D,4.646,338075,JTB-E02-201-15.D,4.646,433877,JTB-E02-201-16.D,4.646,484177,JTB-E02-201-17.D,4.638,344370
"Cyclotetrasiloxane, octamethyl-",JTB-E02-199-06.D,4.979,8242775,JTB-E02-199-07.D,4.979,5958003,JTB-E02-199-08.D,4.971,41334,JTB-E02-199-11.D,4.979,2879022,JTB-E02-199-12.D,4.971,20737,JTB-E02-199-13.D,4.995,2145185,JTB-E02-199-14.D,4.979,1839097,JTB-E02-199-15.D,4.979,969317,JTB-E02-199-16.D,4.971,1810296,JTB-E02-199-17.D,4.979,1882382,JTB-E02-200-06.D,4.979,4702060,JTB-E02-200-07.D,4.995,3815935,JTB-E02-200-08.D,4.987,1090729,JTB-E02-200-11.D,4.987,1965965,JTB-E02-200-12.D,4.979,1760177,JTB-E02-200-13.D,4.995,3575746,JTB-E02-200-14.D,4.979,2945600,JTB-E02-200-15.D,4.979,2452600,JTB-E02-200-16.D,4.979,3284957,JTB-E02-200-17.D,4.979,2766094,JTB-E02-201-06.D,4.979,3346932,JTB-E02-201-07.D,4.979,2262614,JTB-E02-201-08.D,4.995,792102,JTB-E02-201-11.D,4.987,2987027,JTB-E02-201-12.D,4.995,3312859,JTB-E02-201-13.D,4.995,3294699,JTB-E02-201-14.D,4.979,2935320,JTB-E02-201-15.D,4.979,3387027,JTB-E02-201-16.D,4.979,3655437,JTB-E02-201-17.D,4.971,2361540
"Carbonic acid, dimethyl ester",JTB-E02-199-06.D,,,JTB-E02-199-07.D,5.052,704,JTB-E02-199-08.D,5.06,312,JTB-E02-199-11.D,5.052,280950,JTB-E02-199-12.D,5.036,3270,JTB-E02-199-13.D,5.068,260620,JTB-E02-199-14.D,5.052,324310,JTB-E02-199-15.D,5.052,403663,JTB-E02-199-16.D,5.044,381908,JTB-E02-199-17.D,5.052,346985,JTB-E02-200-06.D,,,JTB-E02-200-07.D,5.06,551,JTB-E02-200-08.D,5.036,1637,JTB-E02-200-11.D,5.06,115357,JTB-E02-200-12.D,5.052,161373,JTB-E02-200-13.D,5.06,121906,JTB-E02-200-14.D,5.052,315150,JTB-E02-200-15.D,5.052,348154,JTB-E02-200-16.D,5.052,296839,JTB-E02-200-17.D,5.052,307124,JTB-E02-201-06.D,5.012,1399,JTB-E02-201-07.D,5.076,492,JTB-E02-201-08.D,5.02,982,JTB-E02-201-11.D,5.06,220504,JTB-E02-201-12.D,5.068,199523,JTB-E02-201-13.D,5.068,220335,JTB-E02-201-14.D,5.052,252366,JTB-E02-201-15.D,5.052,282700,JTB-E02-201-16.D,5.052,312260,JTB-E02-201-17.D,5.044,272082
"3-Penten-2-one, 4-methyl-",JTB-E02-199-06.D,5.206,284,JTB-E02-199-07.D,5.206,702,JTB-E02-199-08.D,5.166,328,JTB-E02-199-11.D,5.182,91594,JTB-E02-199-12.D,,,JTB-E02-199-13.D,5.19,29137,JTB-E02-199-14.D,5.182,119252,JTB-E02-199-15.D,5.174,143224,JTB-E02-199-16.D,5.174,128238,JTB-E02-199-17.D,5.182,133956,JTB-E02-200-06.D,5.198,493,JTB-E02-200-07.D,5.182,170,JTB-E02-200-08.D,5.158,539,JTB-E02-200-11.D,5.19,70706,JTB-E02-200-12.D,5.182,80634,JTB-E02-200-13.D,5.182,45340,JTB-E02-200-14.D,5.182,74140,JTB-E02-200-15.D,5.182,90023,JTB-E02-200-16.D,5.174,83691,JTB-E02-200-17.D,5.182,87301,JTB-E02-201-06.D,5.15,360,JTB-E02-201-07.D,5.19,95,JTB-E02-201-08.D,5.198,296,JTB-E02-201-11.D,5.19,47337,JTB-E02-201-12.D,5.19,46725,JTB-E02-201-13.D,5.19,47367,JTB-E02-201-14.D,5.182,42443,JTB-E02-201-15.D,5.174,58313,JTB-E02-201-16.D,5.174,63970,JTB-E02-201-17.D,5.166,56637
"Sulfurous acid, cyclohexylmethyl heptadecyl ester",JTB-E02-199-06.D,5.215,724,JTB-E02-199-07.D,5.247,303,JTB-E02-199-08.D,5.207,547,JTB-E02-199-11.D,5.223,181416,JTB-E02-199-12.D,5.182,831,JTB-E02-199-13.D,5.231,184368,JTB-E02-199-14.D,5.223,214353,JTB-E02-199-15.D,5.223,299842,JTB-E02-199-16.D,5.215,279459,JTB-E02-199-17.D,5.223,265264,JTB-E02-200-06.D,5.231,1006,JTB-E02-200-07.D,,,JTB-E02-200-08.D,5.231,10,JTB-E02-200-11.D,5.231,111136,JTB-E02-200-12.D,5.223,142229,JTB-E02-200-13.D,5.231,108309,JTB-E02-200-14.D,5.223,67147,JTB-E02-200-15.D,5.223,133259,JTB-E02-200-16.D,5.223,131840,JTB-E02-200-17.D,5.223,159290,JTB-E02-201-06.D,5.198,1401,JTB-E02-201-07.D,5.19,802,JTB-E02-201-08.D,5.206,916,JTB-E02-201-11.D,5.231,63362,JTB-E02-201-12.D,5.231,72542,JTB-E02-201-13.D,5.231,61374,JTB-E02-201-14.D,5.223,72204,JTB-E02-201-15.D,5.223,90320,JTB-E02-201-16.D,5.223,81554,JTB-E02-201-17.D,5.214,58843
