Peak_ID,Compound Method,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_032,"1-Butanol, 3-methyl-, acetate",0,99897,112956,96389,0,31166,23739,3830,0,0,0,13384
peak_033,"Butanenitrile, 3-methyl-",595,1830,679,1197,643,204,363,1208,253,852,743,242
peak_034,"2-Pentene, 4,4-dimethyl-",39870,47166,47009,45456,29569,38380,36682,34109,27794,29222,27842,30473
peak_035,o-Xylene,35423,47449,56233,45196,13730,29081,38942,32093,15207,10994,9784,11576
peak_036,1-Butanol,363724,545231,432386,428977,661869,724102,536918,561466,794917,907771,777487,663654
peak_037,"Cyclopentasiloxane, decamethyl-",194963,199647,203801,384088,286937,234005,319362,288777,288496,329490,365102,234579
peak_038,"2-Butenoic acid, 3-methyl-, methyl ester",134734,170414,166098,168799,54562,78984,71631,70891,27793,34443,35152,33910
peak_039,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",106478,114438,107263,105017,25996,33233,24978,34838,14486,16474,21911,18490
peak_040,2-Heptanone,29386,39245,41588,44046,33702,64958,42272,51875,40137,59770,47096,51355
peak_041,"2-Butenal, 3-methyl-",104947,159896,104527,125044,12198,12627,17110,21863,6728,4524,6814,6677
peak_042,"1-Butanol, 3-methyl-",7531782,9892330,9034880,9183381,11275655,11316347,11112356,10988136,11847598,11684296,13733921,11787905
peak_043,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",1407237,1619083,1488385,1324457,224687,290073,243596,271473,88192,90212,114290,95421
peak_044,Thiazole,98058,115228,117867,116693,103262,127136,115748,113508,105728,104751,129102,98816
peak_045,1-Pentanol,36483,51152,53178,49283,45134,55828,51684,50518,36918,53968,53472,48912
peak_046,3-Aminopyridine,44015,54122,53160,53670,43159,52590,47555,49665,45698,48628,52200,52482
peak_047,o-Cymene,2059490,2382483,2062914,1887910,143614,186305,163318,176035,19015,27863,30587,29969
peak_048,Methyl 4-benzoylbutyrate,80343,61564,83253,104895,45322,62890,76768,52028,48765,50222,56387,43841
peak_049,"Pyrazine, 2,6-dimethyl-",158945,174586,167079,190031,156841,142903,157468,139868,115047,137821,157003,136676
peak_050,1-Hexanol,3594079,4063653,3721689,3611004,2941442,3587186,3163837,3152157,2772364,2838610,3529628,2758426
peak_051,Dimethyl trisulfide,372361,565282,123015,298841,31518,20511,68597,118429,6273,5989,35269,13777
peak_052,"3-Hexen-1-ol, (E)-",153485,171792,182387,158410,196046,232278,186478,174749,282746,306730,300687,229362
peak_053,2-Nonanone,9215,15790,13000,14681,19167,28794,27086,30826,15156,21355,21888,25966
peak_054,"Pyrazine, 2-ethyl-6-methyl-",20290,35593,21689,37132,20226,28565,26751,27471,18920,18980,27691,25419
peak_055,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",56173,71738,66890,69004,50915,61267,29008,61020,55136,53203,59904,56620
peak_056,"2-Hexen-1-ol, (E)-",685241,752711,754980,704166,583747,725316,630389,628396,571580,579953,718142,556016
peak_057,"Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-",174951,247313,262630,254317,15099,54525,68897,78487,6185,14755,35894,37726
peak_058,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,184796,138923,229219,221748,271277,194403,258004,251137,372093,419065,419591,307009
peak_059,"Pyrazine, 2-ethyl-3,5-dimethyl-",169628,228549,229331,220275,166632,193243,179995,190632,150108,166709,193137,188644
peak_060,1-Octen-3-ol,34770,43079,49739,42964,22589,31296,26201,29850,17350,19082,25342,19071
peak_061,Furfural,1469787,1685341,1744778,1624465,651210,307909,1028592,1174442,484464,237362,833174,890536
peak_062,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,54295,64951,60479,52973,79608,88541,63420,73951,94506,108982,115564,84065
peak_063,Acetic acid?,370,1817,156,210,1340,317,778,8652,7144,12866,4321,0
peak_064,2-Ethyl-1-hexanol,39323,51854,52536,45402,35887,46469,41519,41319,39339,41110,45102,37306
peak_065,"Ethanone, 1-(2-furanyl)-",77026,100303,98908,90113,83876,99528,84678,84365,86551,78221,88664,82288
peak_066,Dill ether,111716,138817,132406,126262,31432,44694,39697,44103,11149,31420,30485,25921
peak_067,Benzaldehyde,19640527,17232287,17737976,17250611,6676090,3463072,9415697,10955988,4123724,2025821,6034004,6516111
peak_068,p-Trimethylsilyloxyphenyl-(trimethylsilyloxy)trimethylsilylacrylate,210664,204085,310090,389270,256133,241174,315865,283516,263672,279149,340597,257638
peak_069,Linalool,164407,173253,162510,127907,53564,86263,66314,75719,44114,54400,58461,55832
peak_070,1-Octanol,59485,80718,67823,60911,30298,48435,33508,34926,23941,31566,34648,26022
peak_071,"Phosphonoacetic Acid, 3TMS derivative",14514,18339,23202,31011,15094,19738,20494,19292,14653,17226,19211,18322
peak_072,Benzonitrile,162237,158979,161511,143189,85202,107594,104745,120662,82519,72438,83374,77925
peak_073,Terpinen-4-ol,31784,29964,34837,30909,13833,21755,16090,20613,15148,14116,16703,16447
peak_074,"Butanoic acid, 4-hydroxy-",48876,51518,69628,30194,46172,62677,59501,52134,59125,56213,36907,33380
peak_075,Acetophenone,617693,653188,703645,568794,486916,552875,488697,516743,430470,400069,502118,463427
peak_076,"Silanediol, dimethyl-",4137148,4518670,6305563,9124374,4934292,4657126,6315221,5056819,3942655,5027821,5037060,3861392
peak_077,3-Furanmethanol,29781,58574,50726,29934,90442,100132,89022,69804,127344,103936,108862,106073
peak_078,"3,4-Dihydroxyphenylglycol, 4TMS derivative",23841,31543,17949,59006,27660,15649,42554,24741,14818,31677,28066,14694
peak_079,"Benzaldehyde, 3-hydroxy-",161362,178174,194653,185015,65158,53354,74781,77477,34991,19928,45690,51615
peak_080,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",333492,370793,363577,303354,252197,318446,279912,306774,252434,287475,337994,228812
peak_081,Terpineol,812562,967146,859852,801364,603958,743852,700255,678649,520680,674453,691739,632216
peak_082,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",400947,459746,419275,377447,603165,749974,567898,557826,634675,780629,776249,643780
peak_083,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",695110,1091039,868150,715079,47162,76760,81113,88525,28089,21080,35144,24192
peak_084,"Oxime-, methoxy-phenyl-_",1139,124,808,1877,609,496,718,1611,84,876,1079,212
peak_085,Methyl salicylate,65294,94852,85794,86549,55759,80717,60371,35497,49534,58703,55324,49474
peak_086,(-)-Myrtenol,18649,25030,22494,19653,34893,42691,25389,29920,38400,44212,47122,38106
peak_087,"Cyclotrisiloxane, hexamethyl-    1",48335,38794,86033,225514,59157,55846,85163,64123,39981,71175,80891,48666
peak_088,Thymol,15671,23506,29121,23855,24115,25839,28604,22172,21426,21945,27336,26027
peak_089,Benzyl alcohol,144906,255944,210146,162496,392809,435011,365994,334345,488834,432304,486144,406361
peak_090,"Cyclotetrasiloxane, octamethyl-     1",6961,11098,15369,70759,8306,10436,38444,19336,9981,7634,17484,4741
peak_091,Phenylethyl Alcohol,37165,53377,47548,49128,146511,200856,164449,159041,278705,330916,332150,275533
peak_092,Benzyl nitrile,91692,134777,141779,125848,107626,119538,94813,107674,99422,97310,110454,127666
peak_093,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",36490,64632,71823,79148,60177,54824,67769,70031,55233,62756,94009,51612
peak_094,"p-Mentha-1(7),8(10)-dien-9-ol",9165,12748,11452,8497,15197,16306,16720,16686,14856,18459,19455,15785
peak_095,Phenol,38492,51580,67845,52769,52238,65365,57246,47470,53394,51329,55181,53058
peak_096,p-Cresol,137410,177433,185060,162708,171824,192231,159451,173071,185380,201512,191789,203238
peak_097,3-Allyl-6-methoxyphenol,17632,25317,22484,19656,46482,62028,39604,37878,73364,91660,69160,55862
peak_098,n-Hexane,113116,113602,194841,197953,11252,29827,48403,81269,10331,8355,10816,9124
peak_099,"Cyclotrisiloxane, hexamethyl-    2",10994679,9560727,11047096,13039883,10135222,9346699,11459213,8639134,7111544,8915660,8209896,6574561
peak_100,Acetoin,43465,48465,55822,49182,84448,109593,69810,68367,104863,119522,94437,82898
peak_101,"3-Hexen-1-ol, (E)-    1",4623661,5787763,5505557,5033003,4271877,5174246,4545981,4694071,3996102,4479314,4991571,4349559
