Peak_ID,Compound Method,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_032,"Butanenitrile, 3-methyl-",42,50,844,595,1830,679,1197,1072,1083,1087,643,204,363,1208,1886,667,1947,253,852,743,242
peak_033,"2-Pentene, 4,4-dimethyl-",30102,150,30677,39870,47166,47009,45456,30442,35796,17022,29569,38380,36682,34109,27185,29542,29747,27794,29222,27842,30473
peak_034,1-Butanol,236073,0,231470,363724,545231,432386,428977,260855,253447,310900,661869,724102,536918,561466,256636,296841,302245,794917,907771,777487,663654
peak_035,"Cyclopentasiloxane, decamethyl-",295769,0,230549,194963,199647,203801,384088,419150,630966,444294,286937,234005,319362,288777,991794,542467,493704,288496,329490,365102,234579
peak_036,"2-Butenoic acid, 3-methyl-, methyl ester",104706,241,43260,134734,170414,166098,168799,52872,46253,70448,54562,78984,71631,70891,27685,29964,30289,27793,34443,35152,33910
peak_037,2-Heptanone,26848,0,31517,29386,39245,41588,44046,14481,14897,20163,33702,64958,42272,51875,12409,7440,10583,40137,59770,47096,51355
peak_038,"1-Butanol, 3-methyl-",5382474,0,4673163,7531782,9892330,9034880,9183381,5433724,6281174,5145772,11275655,11316347,11112356,10988136,5217548,5640221,5155465,11847598,11684296,13733921,11787905
peak_039,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",1075541,0,1368654,1407237,1619083,1488385,1324457,251512,312984,288702,224687,290073,243596,271473,51773,116387,76247,88192,90212,114290,95421
peak_040,Thiazole,84415,0,108703,98058,115228,117867,116693,110446,113385,121240,103262,127136,115748,113508,110008,111447,122033,105728,104751,129102,98816
peak_041,1-Pentanol,36424,0,40665,36483,51152,53178,49283,38525,36703,47832,45134,55828,51684,50518,38066,40169,41754,36918,53968,53472,48912
peak_042,3-Aminopyridine,33740,0,52839,44015,54122,53160,53670,53656,55562,63010,43159,52590,47555,49665,47738,51043,57787,45698,48628,52200,52482
peak_043,"Benzene, 1-ethyl-2,3-dimethyl-",39,0,0,196,487,129,0,172,294,136,86,174,77,138,0,0,245,374,603,89,0
peak_044,"Pyrazine, 2,6-dimethyl-",119061,0,149445,158945,174586,167079,190031,164123,178326,178767,156841,142903,157468,139868,167552,171554,162464,115047,137821,157003,136676
peak_045,1-Hexanol,2600120,0,3212968,3594079,4063653,3721689,3611004,2897110,3304499,3077319,2941442,3587186,3163837,3152157,2658348,2822207,2702299,2772364,2838610,3529628,2758426
peak_046,"3-Hexen-1-ol, (E)-",90032,0,127001,153485,171792,182387,158410,123696,141450,128130,196046,232278,186478,174749,115551,130863,126817,282746,306730,300687,229362
peak_047,2-Nonanone,5331,0,11533,9215,15790,13000,14681,563,1929,2095,19167,28794,27086,30826,366,220,233,15156,21355,21888,25966
peak_048,"Pyrazine, 2-ethyl-6-methyl-",20441,0,27101,20290,35593,21689,37132,23410,23441,32102,20226,28565,26751,27471,21177,25481,23399,18920,18980,27691,25419
peak_049,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",38960,0,67600,56173,71738,66890,69004,56854,67789,44477,50915,61267,29008,61020,56734,64122,64200,55136,53203,59904,56620
peak_050,"2-Hexen-1-ol, (E)-",458535,543044,589732,685241,752711,754980,704166,551750,663974,610997,583747,725316,630389,628396,553234,557865,551559,571580,579953,718142,556016
peak_051,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,124298,126316,146684,184796,138923,229219,221748,142104,158576,147459,271277,194403,258004,251137,136263,140819,135380,372093,419065,419591,307009
peak_052,"Pyrazine, 2-ethyl-3,5-dimethyl-",158942,157268,0,169628,228549,229331,220275,0,161291,0,166632,193243,179995,190632,0,0,0,150108,166709,193137,188644
peak_053,1-Octen-3-ol,23113,11446,32908,34770,43079,49739,42964,15870,16632,19640,22589,31296,26201,29850,14358,17517,13513,17350,19082,25342,19071
peak_054,Furfural,1411725,1280151,1647070,1469787,1685341,1744778,1624465,1876654,2311001,2092587,651210,307909,1028592,1174442,2387678,2157354,2141248,484464,237362,833174,890536
peak_055,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,30942,10253,46776,54295,64951,60479,52973,37669,39656,42555,79608,88541,63420,73951,33918,45915,41554,94506,108982,115564,84065
peak_056,2-Ethyl-1-hexanol,28962,37073,46887,39323,51854,52536,45402,30984,39686,34349,35887,46469,41519,41319,45074,26469,26744,39339,41110,45102,37306
peak_057,"Ethanone, 1-(2-furanyl)-",50060,66350,48266,77026,100303,98908,90113,76992,61197,97161,83876,99528,84678,84365,88744,85455,78246,86551,78221,88664,82288
peak_058,2-Mercapto-4-phenylthiazole,362428,475142,684489,221732,212243,501944,440444,284589,315862,392404,255461,288389,322063,277646,570484,271670,243061,207103,268208,255356,216955
peak_059,Benzaldehyde,18752198,20165301,24229413,19640527,17232287,17737976,17250611,23386625,24107861,24222892,6676090,3463072,9415697,10955988,22377730,21032568,21960307,4123724,2025821,6034004,6516111
peak_060,p-Trimethylsilyloxyphenyl-(trimethylsilyloxy)trimethylsilylacrylate,292482,262779,438565,210664,204085,310090,389270,330390,309936,369881,256133,241174,315865,283516,699380,322949,307458,263672,279149,340597,257638
peak_061,Linalool,106317,150315,134828,164407,173253,162510,127907,70816,71253,58401,53564,86263,66314,75719,39086,47569,37572,44114,54400,58461,55832
peak_062,1-Octanol,31002,30594,39715,59485,80718,67823,60911,16461,17671,20170,30298,48435,33508,34926,12968,11737,9206,23941,31566,34648,26022
peak_063,"Phosphonoacetic Acid, 3TMS derivative",23061,25605,25526,14514,18339,23202,31011,19354,19588,24197,15094,19738,20494,19292,34336,23386,24592,14653,17226,19211,18322
peak_064,Benzonitrile,109665,114756,160842,162237,158979,161511,143189,117152,146954,132257,85202,107594,104745,120662,109717,94361,101483,82519,72438,83374,77925
peak_065,Terpinen-4-ol,22211,26000,29249,31784,29964,34837,30909,21025,21255,7832,13833,21755,16090,20613,12636,11162,11399,15148,14116,16703,16447
peak_066,"Butanoic acid, 4-hydroxy-",69768,44044,67313,48876,51518,69628,30194,50630,34623,66787,46172,62677,59501,52134,77797,59257,46888,59125,56213,36907,33380
peak_067,Acetophenone,487517,485061,626841,617693,653188,703645,568794,536872,597779,574731,486916,552875,488697,516743,514866,452886,501749,430470,400069,502118,463427
peak_068,"Silanediol, dimethyl-",8565820,5804987,11689180,4137148,4518670,6305563,9124374,5610061,4425594,8553932,4934292,4657126,6315221,5056819,9391850,5865136,6512021,3942655,5027821,5037060,3861392
peak_069,3-Furanmethanol,10513,13611,13802,29781,58574,50726,29934,11648,16041,14832,90442,100132,89022,69804,15733,12572,11097,127344,103936,108862,106073
peak_070,"3,4-Dihydroxyphenylglycol, 4TMS derivative",48602,36940,16282,23841,31543,17949,59006,30361,16302,52278,27660,15649,42554,24741,27344,36940,34235,14818,31677,28066,14694
