Peak_ID,Library\ID,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_066,"Benzene, 1-methyl-4-(1-methylethenyl)-",15934,10340,19213,17125,19576,22265,25043,10688,12096,7521,15005,10999,5949,14628,934,10385,1337,5025,13047,5756,4451
peak_067,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,113637,140837,150693,189294,166388,224764,213402,138423,164680,82467,256427,225537,221520,246821,130311,146067,138094,330253,388946,408970,282088
peak_068,"Pyrazine, 2-ethyl-3,5-dimethyl-",154604,160171,198295,207556,227863,234541,230934,183543,193377,202077,173543,182615,186223,193755,171000,175225,167500,150038,164304,205002,177413
peak_069,"Pyrazine, 3-ethyl-2,5-dimethyl-",154604,160171,198295,207556,227863,234541,230934,183543,193377,202077,173543,182615,186223,193755,171000,175225,167500,150038,164304,205002,177413
peak_070,1-Octen-3-ol,24628,29012,37391,47294,38149,57492,49517,20555,26693,25499,25242,38496,29525,24364,14654,16294,14537,21168,23150,32235,25040
peak_071,Furfural,1411725,1280151,1647070,1469787,1685341,1744778,1624465,1876654,2311001,2092587,651210,307909,1028592,1174442,2387678,2157354,2141248,484464,237362,833174,890536
peak_072,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,38296,25827,46564,66186,69748,73898,66012,43884,54121,24057,93533,114538,73936,84129,25637,44859,42290,81117,140539,126504,87894
peak_073,"4-[p-Fluorophenyl]-2H-1,3[3H]-oxazine-2,6-dione",9811,5202,6165,6294,8266,10763,12766,1572,774,1492,752,1256,901,2923,1683,460,2098,393,233,2708,2026
peak_074,"Benzene, 1,2,3,4-tetramethyl-",26203,27568,41964,36788,41208,39260,30732,1055,4495,3013,1430,6222,2591,4437,366,1775,345,1503,1867,1283,520
peak_075,2-Ethyl-1-hexanol,39601,35936,65381,58849,72932,81313,70582,37765,57569,47841,50023,62651,50723,56252,61187,25078,41393,58028,55494,64340,55309
peak_076,"2,4,6-Trimethyl-1,3-phenylenediamine",11864,6649,19206,17160,18507,15617,17220,13401,17456,16286,10762,12081,10396,15951,9729,12139,10046,6334,7893,8872,1578
peak_077,"Ethanone, 1-(2-furanyl)-",58819,61010,44139,81552,72167,118873,104113,81099,99186,58032,97810,106938,106669,102335,91710,87495,83246,95540,97483,112288,108767
peak_078,Dill ether,81210,69197,112188,59682,73821,138711,132005,29478,39989,32389,32460,46606,41235,46207,18905,20760,7399,26469,32289,31866,26685
peak_079,Benzaldehyde,25297918,20626022,27340858,22548613,22772905,24071372,23183028,26396080,27960600,28120791,8413963,4232075,12487835,14792294,25539910,24035375,25086803,4946515,2509114,7639216,8866696
peak_080,"Phenol, 2-(1-methyl-2-buthenyl)-4-methoxy-",870067,640402,1309343,1213881,1246342,1201057,1020073,52303,32416,28820,47156,59704,52401,64188,28890,38394,41138,26790,30322,16757,30599
peak_081,"1,4-Dimethoxy-2-methyl-5-(prop-1-en-2-yl)benzene",324968,493549,284493,285312,465591,465879,413960,8472,18553,16861,21924,35116,21986,11917,9145,5399,4542,12129,12879,14528,15187
peak_082,Linalool,132185,150315,145143,191208,225650,207026,191214,72599,60896,80219,77839,108845,84193,85684,29920,50454,47535,51162,63298,75581,65676
peak_083,2-Caren-4-ol,12691,18320,24938,21320,25019,21687,13550,435,430,103,450,563,903,2069,486,568,370,85,72,90,619
peak_084,1-Octanol,38824,32369,41849,67664,60235,82214,66239,9431,10455,21731,39303,56308,42380,28151,8344,11737,9246,18893,36752,36977,31498
peak_085,"2-Furancarboxaldehyde, 5-methyl-",28163,22805,30058,18112,33754,40411,33843,28472,20936,39220,14879,7273,21972,22712,21862,30408,29058,9061,5647,16869,17197
peak_086,Benzonitrile,142070,119598,184313,183585,205421,209569,216838,145720,98604,153183,127536,150791,140261,154361,116634,109370,122336,69692,110574,122636,116238
peak_087,Terpinen-4-ol,14085,29895,26724,25698,34192,22462,22097,20512,16657,15939,17057,23649,22787,25276,7177,12671,14040,13110,10392,11908,11099
peak_088,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans-",14255,10613,13371,16691,21657,20680,23565,10389,15828,7342,1483,17852,12763,14610,13616,13028,12027,13750,12071,14433,13606
peak_089,"Bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1S-exo)-",8071,14910,13150,49951,124069,133224,83448,4733,14402,10574,20053,36345,28562,48939,4568,6405,4219,17315,8741,30965,18996
peak_090,"Bicyclo[2.2.1]hept-2-ene, 2,3-dimethyl-",9781,8994,11442,23137,22590,26221,26962,13247,13568,14810,14129,21215,14144,19197,14184,18104,17280,16092,17131,23460,19649
peak_091,"Ethanone, 1-(2,5-dihydroxyphenyl)-",20826,17572,20906,34125,39999,38228,33168,4643,6432,1587,3594,6378,2636,6355,1679,4314,4396,3209,2524,4990,5024
peak_092,"1,4-Benzenediol, 2,5-dimethyl-",25772,26084,34817,34936,44493,23392,36847,20375,10784,9006,17866,24082,12403,21429,17454,16108,8457,12018,15213,15664,14939
peak_093,"1,3-Cyclohexadiene-1-carboxaldehyde, 2,6,6-trimethyl-",42516,54700,72770,69543,70965,76036,72372,16334,15526,15336,9850,10768,14501,15322,7503,6074,12594,7403,7800,10489,8822
peak_094,Acetophenone,487517,485061,626841,617693,653188,703645,568794,536872,597779,574731,486916,552875,488697,516743,514866,452886,501749,430470,400069,502118,463427
peak_095,"Silanediol, dimethyl-",10373525,7948890,13781702,5081396,2981702,7435444,11124904,6235361,5408689,9591880,5769517,5468223,7524702,5914594,10861014,6575912,7306290,4598385,6105252,5907253,4613223
peak_096,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-  1",41437,38479,51518,52021,76338,56182,58941,36142,38032,21755,29160,35039,33959,36098,17812,15758,20011,14660,14267,24894,14562
peak_097,1-Nonanol,8291,8648,10704,23989,32838,20153,29182,2892,2930,320,8947,14273,10357,11981,349,1637,373,3748,9273,12273,9194
peak_098,"Benzoic acid, ethyl ester",30806,31231,42572,41626,51415,53915,35924,4502,12355,12341,10319,13613,16954,14249,5883,6708,8509,5780,6183,5370,5577
peak_099,"3,4-Dihydroxyphenylglycol, 4TMS derivative",58553,40546,18309,23841,31960,17949,59847,30361,16302,52516,25980,18328,42554,30226,27344,36940,34235,15769,36331,29280,18308
peak_100,"Benzaldehyde, 3-hydroxy-",107828,117723,130263,131492,125502,103070,120759,83998,128202,123827,37957,26457,50301,43939,87228,77715,79911,19606,13062,25376,31544
peak_101,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",224339,300794,285936,333492,370793,363577,303354,296946,334681,273487,252197,318446,279912,306774,284401,286516,230842,252434,287475,337994,228812
peak_102,Terpineol,697689,795571,798540,965572,1280551,1126222,937421,732794,802526,735374,791256,958465,850900,897817,642471,613890,602926,651913,745557,923878,755574
peak_103,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",56104,69804,75102,400947,459746,419275,377447,55504,58648,60830,603165,749974,567898,557826,47299,51846,45362,634675,780629,776249,643780
peak_104,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",555320,648684,916474,695110,1091039,868150,715079,33638,72276,44939,47162,76760,81113,88525,34073,30031,26387,28089,21080,35144,24192
peak_105,"Oxime-, methoxy-phenyl-_",2609,1176,2016,1470,240,845,2043,0,630,2896,677,496,85,1611,4859,208,504,12,668,999,212
peak_106,Methyl salicylate,46368,44271,56124,65294,94852,85794,86549,14676,28751,33058,55759,80717,60371,48826,23000,16288,26418,49534,58703,55324,49474
peak_107,"Bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1S-exo)-   1",23506,22614,25890,28337,34576,33040,31848,20090,23841,18055,20077,16278,20152,24794,18403,18700,18297,14406,20833,19376,18815
peak_108,(-)-Myrtenol,2791,1241,1879,18649,25030,22494,19653,1835,1021,1717,34893,42691,25389,29920,2631,1455,1730,38400,44212,47122,38106
peak_109,2'-Ethoxyformanilide,10254,14179,9827,16476,20463,18648,18007,4880,3588,4700,2433,4505,5518,2362,2509,2864,2431,420,2579,2078,2875
peak_110,"Cyclotrisiloxane, hexamethyl-    1",213136,188367,249224,48335,38794,118043,285253,56398,64012,163606,59157,63522,116891,83949,699312,87176,77060,52013,111405,80891,51186
peak_111,"2-Buten-1-one, 1-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-",3359,6819,5507,8158,8976,5503,9220,783,187,2008,2252,3103,2968,4321,838,868,641,1038,1074,3023,1476
peak_112,Benzyl alcohol,35876,45521,43481,167088,324384,255598,196417,45522,55519,48743,487541,554356,427408,421641,67136,44503,53953,598352,569325,607938,489833
peak_113,"Cyclotetrasiloxane, octamethyl-     1",27596,28213,22883,7455,4717,15775,35985,19210,8412,44214,20607,15557,42228,19336,91828,21268,34669,11480,27587,18255,4741
peak_114,Phenylethyl Alcohol,17987,26365,25656,45580,69702,63786,59135,35588,39809,33473,184640,259369,192675,206694,47237,40156,34263,365111,377955,417847,325540
peak_115,"Benzenecarbothioic acid, S-methyl ester",29743,31194,27377,36657,39298,37684,46508,9827,8828,8290,4361,6011,9295,13411,3698,3016,7550,3164,4002,8007,6385
peak_116,Benzyl nitrile,96994,109612,122293,117665,143222,159289,128008,112282,133633,109280,109475,126681,115435,111645,114786,95530,99709,109506,93399,110435,127666
peak_117,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",114509,60146,67130,43393,84808,78234,59701,53800,83276,97862,76586,72296,55982,83899,87891,104344,111586,65635,69910,110532,40498
peak_118,"p-Mentha-1(7),8(10)-dien-9-ol",2787,3784,2089,9000,14210,11452,11983,2541,3388,3379,15408,21634,19212,18000,2797,3426,3038,18890,23470,20324,17120
peak_119,Phenol,37092,41902,54986,32121,46888,57436,48094,42867,55197,51570,47426,59070,45187,46843,57068,36369,44296,49500,46805,50601,58386
peak_120,p-Cresol,150112,158371,171759,169168,220196,231692,218038,188563,223343,202758,191427,237457,185209,199223,218456,193150,171662,215318,201512,238541,231821
peak_121,3-Allyl-6-methoxyphenol,6399,7469,8137,20054,30175,21530,22599,6715,8011,8450,48571,69539,46931,41323,8764,8384,7157,81903,92764,80875,58970
peak_122,,,,,,,,,,,,,,,,,,,,,,
